MitoPathway	MitoPathways Hierarchy	Genes			
Mitochondrial central dogma	Mitochondrial central dogma	"AARS2, ALKBH1, ANGEL2, APEX1, ATAD3A, ATAD3B, AURKAIP1, C12orf65, CARS2, CDK5RAP1, CHCHD1, COA3, COX14, DAP3, DARS2, DDX28, DHX30, DNA2, DUS2, EARS2, ELAC2, ENDOG, ERAL1, EXD2, EXOG, FARS2, FASTK, FASTKD1, FASTKD2, FASTKD3, FASTKD5, GADD45GIP1, GARS1, GATB, GATC, GFM1, GFM2, GRSF1, GTPBP10, GTPBP3, GUF1, HARS2, HEMK1, HSD17B10, IARS2, KARS1, LACTB2, LARS2, LIG3, LRPPRC, MALSU1, MARS2, METAP1D, METTL15, METTL17, METTL4, METTL5, METTL8, MGME1, MIEF1, MPV17L2, MRM1, MRM2, MRM3, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL4, MRPL40, MRPL41, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL55, MRPL57, MRPL58, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS36, MRPS5, MRPS6, MRPS7, MRPS9, MRRF, MTERF1, MTERF2, MTERF3, MTERF4, MTFMT, MTG1, MTG2, MTIF2, MTIF3, MTO1, MTPAP, MTRES1, MTRF1, MTRF1L, MUTYH, MYG1, NARS2, NGRN, NOA1, NSUN2, NSUN3, NSUN4, OGG1, OSGEPL1, OXA1L, PARS2, PDE12, PDF, PIF1, PNPT1, POLB, POLDIP2, POLG, POLG2, POLQ, POLRMT, PPA2, PRIMPOL, PRORP, PTCD1, PTCD2, PTCD3, PUS1, PUSL1, QRSL1, QTRT1, RARS2, RBFA, RCC1L, RECQL4, REXO2, RMND1, RNASEH1, RPUSD3, RPUSD4, SARS2, SLIRP, SSBP1, SUPV3L1, TACO1, TARS2, TBRG4, TEFM, TFAM, TFB1M, TFB2M, THG1L, TIMM21, TOP1MT, TOP3A, TRIT1, TRMT1, TRMT10C, TRMT2B, TRMT5, TRMT61B, TRMU, TRNT1, TRUB2, TSFM, TUFM, TWNK, UNG, VARS2, WARS2, YARS2, YBEY, YRDC"			
mtDNA maintenance	Mitochondrial central dogma > mtDNA maintenance	"APEX1, ATAD3A, ATAD3B, DNA2, ENDOG, EXOG, LIG3, METTL4, MGME1, MTERF1, MTERF2, MUTYH, OGG1, PIF1, POLB, POLDIP2, POLG, POLG2, POLQ, POLRMT, PPA2, PRIMPOL, RECQL4, RNASEH1, SSBP1, TFAM, TFB2M, TOP1MT, TOP3A, TWNK, UNG"			
mtDNA replication	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication	"DNA2, EXOG, LIG3, MGME1, POLG, POLG2, POLRMT, RNASEH1, SSBP1, TFAM, TFB2M, TOP1MT, TOP3A, TWNK"			
mtDNA nucleoid	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid	"ATAD3A, ATAD3B, MTERF1, MTERF2, POLDIP2, POLG, POLG2, POLRMT, SSBP1, TFAM, TWNK"			
mtDNA repair	Mitochondrial central dogma > mtDNA maintenance > mtDNA repair	"APEX1, EXOG, LIG3, OGG1, POLB, POLG, PRIMPOL, RECQL4, UNG"			
mtDNA modifications	Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications	METTL4			
mtDNA stability and decay	Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay	"ENDOG, EXOG, MGME1"			
mtRNA metabolism	Mitochondrial central dogma > mtRNA metabolism	"ALKBH1, ANGEL2, CDK5RAP1, DDX28, DHX30, DUS2, ELAC2, ENDOG, ERAL1, FASTK, FASTKD1, FASTKD2, FASTKD3, FASTKD5, GRSF1, GTPBP3, HSD17B10, LACTB2, LRPPRC, METTL15, METTL17, METTL5, METTL8, MRM1, MRM2, MRM3, MRPL12, MRPL47, MRPS7, MRPS9, MTERF1, MTO1, MTPAP, MTRES1, MYG1, NGRN, NOA1, NSUN2, NSUN3, NSUN4, OSGEPL1, PDE12, PNPT1, POLRMT, PPA2, PRORP, PTCD1, PTCD2, PUS1, QTRT1, RCC1L, REXO2, RMND1, RNASEH1, RPUSD3, RPUSD4, SLIRP, SUPV3L1, TBRG4, TEFM, TFAM, TFB1M, TFB2M, THG1L, TOP1MT, TRIT1, TRMT1, TRMT10C, TRMT2B, TRMT5, TRMT61B, TRMU, TRNT1, TRUB2, YBEY, YRDC"			
Transcription	Mitochondrial central dogma > mtRNA metabolism > Transcription	"MRPL12, MTERF1, MTRES1, POLRMT, TEFM, TFAM, TFB2M, TOP1MT"			
mtRNA granules	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules	"ALKBH1, DDX28, DHX30, ERAL1, FASTK, FASTKD1, FASTKD2, FASTKD5, GRSF1, HSD17B10, MRM1, MRM2, MRPL47, MRPS7, MRPS9, MTPAP, NOA1, PRORP, PTCD1, PTCD2, PUS1, RMND1, RPUSD3, RPUSD4, SUPV3L1, TFB1M, TRMT10C, TRUB2"			
Polycistronic mtRNA processing	Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing	"ELAC2, FASTK, FASTKD1, FASTKD2, FASTKD3, FASTKD5, GRSF1, HSD17B10, PRORP, PTCD2, TBRG4, TRMT10C, YBEY"			
mt-tRNA modifications	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	"ALKBH1, CDK5RAP1, DUS2, GTPBP3, HSD17B10, MTO1, NSUN2, NSUN3, OSGEPL1, PUS1, QTRT1, RPUSD4, THG1L, TRIT1, TRMT1, TRMT10C, TRMT2B, TRMT5, TRMT61B, TRMU, TRNT1, YRDC"			
mt-rRNA modifications	Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications	"METTL15, METTL17, METTL5, MRM1, MRM2, MRM3, MTPAP, MYG1, NGRN, NSUN4, RCC1L, RPUSD3, RPUSD4, TFB1M, TRIT1, TRMT2B, TRMT61B, TRUB2"			
mt-mRNA modifications	Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications	"ANGEL2, MTPAP, MYG1, PDE12"			
mtRNA stability and decay	Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay	"ENDOG, FASTK, FASTKD1, FASTKD2, FASTKD3, FASTKD5, GRSF1, LACTB2, LRPPRC, MTPAP, PDE12, PNPT1, REXO2, RNASEH1, SLIRP, SUPV3L1, TBRG4"			
