Name_CD,Tissue,Molecular Weight,RT [min],RT_Index_PC,Std_RT,Name
CL(68:6),BAT,1396.9416,7.608,1.551386623,4.904,CL(68:6)
CL(68:4),BAT,1400.97212,8.053,1.642128874,4.904,CL(68:4)
CL(68:3),BAT,1402.98793,8.274,1.687194127,4.904,CL(68:3)
CL(70:7)>CL(16:1_18:2_18:2_18:2),kidney,1422.95589,7.636,1.545123432,4.942,CL(70:7)>CL(16:1_18:2_18:2_18:2)
CL(70:7)>CL(16:1_18:2_18:2_18:2),muscle,1422.95679,7.545,1.576143723,4.787,CL(70:7)>CL(16:1_18:2_18:2_18:2)
CL(70:7),liver,1422.95688,7.618,1.572667217,4.844,CL(70:7)>CL(16:1_18:2_18:2_18:2)
CL(70:7),heart,1422.95732,7.563,1.577596996,4.794,CL(70:7)>CL(16:1_18:2_18:2_18:2)
CL(70:7)>CL(16:1_18:2_18:2_18:2),BAT,1422.95819,7.637,1.557300163,4.904,CL(70:7)>CL(16:1_18:2_18:2_18:2)
CL(70:6),kidney,1424.97176,7.848,1.588021044,4.942,CL(70:6)>CL(16:0_18:2_18:2_18:2)
CL(70:6),liver,1424.97327,7.8,1.610239472,4.844,CL(70:6)>CL(16:0_18:2_18:2_18:2)
CL(70:6)>CL(16:0_18:2_18:2_18:2),BAT,1424.97388,7.855,1.60175367,4.904,CL(70:6)>CL(16:0_18:2_18:2_18:2)
CL(70:5),kidney,1426.98728,8.077,1.634358559,4.942,CL(70:5)>CL(16:1_18:1_18:1_18:2)
CL(70:5)>CL(16:1_18:1_18:1_18:2),BAT,1426.98929,8.051,1.641721044,4.904,CL(70:5)>CL(16:1_18:1_18:1_18:2)
CL(70:4),kidney,1429.00267,8.308,1.681100769,4.942,CL(70:4)>CL(16:0_18:1_18:1_18:2)
CL(70:4),BAT,1429.00477,8.27,1.686378467,4.904,CL(70:4)>CL(16:0_18:1_18:1_18:2)
CL(72:10),liver,1444.93873,7.611,1.57122213,4.844,CL(72:10)
CL(72:9),BAT,1446.95613,7.825,1.595636215,4.904,CL(72:9)>CL(18:2_18:2_18:2_18:3)
CL(72:9),heart,1446.95751,7.459,1.555903212,4.794,CL(72:9)>CL(18:2_18:2_18:2_18:3)
CL(72:8),WAT,1448.97193,7.681,1.572364381,4.885,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:8)>CL(18:2/18:2/18:2/18:2),lung,1448.97246,7.537,1.592436087,4.733,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:8)>CL(18:2/18:2/18:2/18:2),kidney,1448.97301,7.673,1.552610279,4.942,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:8)>CL(18:2/18:2/18:2/18:2),liver,1448.97353,7.655,1.580305533,4.844,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:8)>CL(18:2/18:2/18:2/18:2),muscle,1448.97392,7.58,1.583455191,4.787,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:8)>CL(18:2/18:2/18:2/18:2),heart,1448.97503,7.601,1.585523571,4.794,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:8)>CL(18:2/18:2/18:2/18:2),BAT,1448.97546,7.672,1.564437194,4.904,CL(72:8)>CL(18:2/18:2/18:2/18:2)
CL(72:7)>CL(18:1_18:2_18:2_18:2),muscle,1450.97925,7.761,1.621265929,4.787,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7),lung,1450.98813,7.707,1.628354109,4.733,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7)>CL(18:1_18:2_18:2_18:2),kidney,1450.98825,7.865,1.591460947,4.942,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7),WAT,1450.98825,7.853,1.607574207,4.885,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7)>CL(18:1_18:2_18:2_18:2),liver,1450.98891,7.833,1.617052023,4.844,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7),hippocampus,1450.98907,7.769,1.658625107,4.684,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7)>CL(18:1_18:2_18:2_18:2),heart,1450.98946,7.783,1.623487693,4.794,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:7)>CL(18:1_18:2_18:2_18:2),BAT,1450.9902,7.858,1.602365416,4.904,CL(72:7)>CL(18:1_18:2_18:2_18:2)
CL(72:6)>CL(18:1_18:1_18:2_18:2),liver,1452.9949,7.835,1.617464905,4.844,CL(72:6)>CL(18:1_18:1_18:2_18:2)
CL(72:6),WAT,1453.003,8.016,1.640941658,4.885,CL(72:6)>CL(18:1_18:1_18:2_18:2)
CL(72:6)>CL(18:1_18:1_18:2_18:2),kidney,1453.00308,8.077,1.634358559,4.942,CL(72:6)>CL(18:1_18:1_18:2_18:2)
CL(72:6)>CL(18:1_18:1_18:2_18:2),muscle,1453.00371,7.956,1.662001253,4.787,CL(72:6)>CL(18:1_18:1_18:2_18:2)
CL(72:6)>CL(18:1_18:1_18:2_18:2),heart,1453.0041,7.978,1.664163538,4.794,CL(72:6)>CL(18:1_18:1_18:2_18:2)
CL(72:6)>CL(18:1_18:1_18:2_18:2),BAT,1453.00499,8.054,1.64233279,4.904,CL(72:6)>CL(18:1_18:1_18:2_18:2)
CL(72:4),hippocampus,1457.03589,8.334,1.779248506,4.684,CL(72:4)
CL(74:11)>CL(18:2_18:2_18:2_20:5),kidney,1470.9535,7.675,1.553014974,4.942,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:11)>CL(18:2_18:2_18:2_20:5),muscle,1470.95413,7.582,1.583872989,4.787,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:11),lung,1470.95426,7.537,1.592436087,4.733,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:11),heart,1470.95452,7.582,1.581560284,4.794,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:11)>CL(18:2_18:2_18:2_20:5),liver,1470.95465,7.655,1.580305533,4.844,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:11),WAT,1470.95503,7.679,1.571954964,4.885,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:11)>CL(18:2_18:2_18:2_20:5),BAT,1470.95567,7.675,1.56504894,4.904,CL(74:11)>CL(18:2_18:2_18:2_20:5)
CL(74:10)>CL(18:1_18:2_18:2_20:5),kidney,1472.96916,7.866,1.591663294,4.942,CL(74:10)>CL(18:1_18:2_18:2_20:5)
CL(74:10)>CL(18:1_18:2_18:2_20:5),muscle,1472.9696,7.761,1.621265929,4.787,CL(74:10)>CL(18:1_18:2_18:2_20:5)
CL(74:10)>CL(18:1_18:2_18:2_20:5),liver,1472.9703,7.834,1.617258464,4.844,CL(74:10)>CL(18:1_18:2_18:2_20:5)
CL(74:10)>CL(18:1_18:2_18:2_20:5),BAT,1472.97118,7.86,1.602773246,4.904,CL(74:10)>CL(18:1_18:2_18:2_20:5)
CL(74:10)>CL(18:1_18:2_18:2_20:5),heart,1472.97177,7.785,1.623904881,4.794,CL(74:10)>CL(18:1_18:2_18:2_20:5)
CL(74:10)>CL(18:2_18:2_18:2_20:4),muscle,1472.97248,7.532,1.573428034,4.787,CL(74:10)>CL(18:2_18:2_18:2_20:4)
CL(74:10)>CL(18:2_18:2_18:2_20:4),kidney,1472.9706,7.628,1.543504654,4.942,CL(74:10)>CL(18:2_18:2_18:2_20:4)
CL(74:9),heart,1474.97951,7.982,1.664997914,4.794,CL(74:9)
CL(74:9),kidney,1474.98542,8.077,1.634358559,4.942,CL(74:9)
CL(74:9),liver,1474.98611,8.026,1.656895128,4.844,CL(74:9)
CL(74:9),BAT,1474.9868,8.054,1.64233279,4.904,CL(74:9)
CL(74:9)>CL(18:1_18:2_18:2_20:4)_and_CL(18:2_18:2_18:2_20:3),kidney,1474.9874,7.803,1.578915419,4.942,CL(74:9)
CL(74:9)>CL(18:2_18:2_18:2_20:3),muscle,1474.98798,7.632,1.594317944,4.787,CL(74:9)
CL(74:9),BAT,1474.99014,7.725,1.575244698,4.904,CL(74:9)
CL(74:8)>CL(18:1_18:2_18:2_20:3)_and_CL(18:2_18:2_18:2_20:2),kidney,1477.00292,7.907,1.599959531,4.942,CL(74:8)>CL(18:1_18:2_18:2_20:3)_and_CL(18:2_18:2_18:2_20:2)
CL(74:8),muscle,1477.00319,7.8,1.629412994,4.787,CL(74:8)>CL(18:1_18:2_18:2_20:3)_and_CL(18:2_18:2_18:2_20:2)
CL(74:8)>CL(18:2_18:2_18:2_20:2)_and_CL(18:1_18:2_18:2_20:3),heart,1477.00403,7.824,1.63204005,4.794,CL(74:8)>CL(18:1_18:2_18:2_20:3)_and_CL(18:2_18:2_18:2_20:2)
CL(74:8),BAT,1477.00535,7.899,1.610725938,4.904,CL(74:8)>CL(18:1_18:2_18:2_20:3)_and_CL(18:2_18:2_18:2_20:2)
CL(74:7),kidney,1479.01815,8.112,1.641440712,4.942,CL(74:7)
CL(74:7)>CL(18:1_18:1_18:1_20:4),hippocampus,1479.0202,8.026,1.713492741,4.684,CL(74:7)>CL(18:1_18:1_18:1_20:4)
CL(76:13),kidney,1494.95313,7.624,1.542695265,4.942,CL(76:13)
CL(76:12),kidney,1496.97058,7.565,1.530756779,4.942,CL(76:12)>CL(18:2_18:2_18:2_22:6)
CL(76:12)>CL(18:2_18:2_18:2_22:6),muscle,1496.97202,7.472,1.560894088,4.787,CL(76:12)>CL(18:2_18:2_18:2_22:6)
CL(76:12),heart,1496.97318,7.494,1.563204005,4.794,CL(76:12)>CL(18:2_18:2_18:2_22:6)
CL(76:11),muscle,1498.98726,7.536,1.574263631,4.787,CL(76:11)>CL(18:1_18:2_18:2_22:6)
CL(76:11)>CL(18:1_18:2_18:2_22:6),heart,1498.9882,7.659,1.597622028,4.794,CL(76:11)>CL(18:1_18:2_18:2_22:6)
