entrez_gene	rgd_gene	gene_symbol
300047	1306597	Cyc1
298596	1308598	Sdhb
25249	2381	Coq7
157074	621557	Sdha
301011	1303314	Uqcrc1
304542	1310857	Coq5
29554	3286	Pdha1
498909	1586040	Coq9
303746	1588559	Mrpl12
245965	621372	Atp5f1d
252934	620607	Cox5a
500694	1563216	Isca2
64198	621297	Pmpcb
291103	628838	Uqcrfs1
65262	619993	Atp5f1a
360975	1561359	Ogdh
289950	1359146	Pdhb
293448	1359150	Uqcrc2
363061	735231	Sdhd
297727	1306720	Mrps35
497902	1562350	Uqcrq
362388	1306709	Mrpl53
29611	68403	Dbt
89813	69061	Pdk4
81829	619719	Mdh2
361883	1311829	Mrps27
170587	620330	Cs
79563	70947	Grpel1
81654	619859	Dlat
313867	1306575	Lrpprc
299201	1359615	Dlst
311254	1566332	Pdhx
114017	631396	Gfm1
100359982	1563422	Mpc2
301458	1359670	Ndufs1
293054	1309123	Mrpl46
245958	621374	Atp5f1e
245959	70986	Slc25a3
360594	1306963	Mrps23
24368	2614	Fh
296588	727897	Pmpca
171374	621368	Atp5f1b
685888	1588998	Sdhaf4
685322	1595126	Uqcr10
290985	727792	Isca1
361071	1309397	Sucla2
29309	2380	Coq3
364070	1311857	Iars2
298517	1359675	Mrps15
114096	70889	Idh3a
103693419	9174727	Cox11
295143	735052	Etfdh
64464	621741	Timm10
290632	1359397	Mrpl34
301240	1307147	Mrpl2
25244	2196	Bckdha
366448	1305987	Uqcrh
290999	1309691	Higd2a
192241	621379	Atp5po
140547	69330	Echs1
681352	1596738	Letmd1
25282	2384	Cox6a1
309391	1312043	Cox15
307350	1305259	Afg3l2
170670	620512	Hadha
300726	628747	Etfa
362837	1310013	Ndufs7
25413	2398	Cpt2
29711	2197	Bckdhb
94173	621881	Idh3b
363172	1308429	Lars2
64304	620514	Acads
305457	1359678	Letm1
140608	621377	Atp5me
171116	708423	Opa1
361215	1306087	Auh
114597	619821	Suclg1
81728	621733	Ndufv2
299195	1311149	Coq6
309440	1307593	Mrpl43
360831	1304681	Abhd11
94271	621376	Atp5pf
293991	1309129	Ndufb8
170916	621598	Lonp1
298942	735073	Dld
83533	620817	Aifm1
684538	1589147	Echdc3
317191	1549725	Apool
691075	1588626	Mrpl10
311903	1305897	Mrrf
293652	1309436	Ndufs8
24158	2012	Acadm
312444	1310684	Immt
171139	621656	Timm9
85333	620352	Slc25a4
300111	1303219	Samm50
289218	1307109	Ndufs2
293655	1359247	Ndufv1
79250	621360	Aco2
294385	1305565	Supv3l1
361338	1307556	Fech
305606	1303046	Mtif2
25344	3322	Phb
301384	1308392	Hibch
362094	1309116	Mrps2
291671	1311806	Hspa9
64463	620527	Surf1
64371	620040	Prdx3
290596	1359301	Ghitm
305317	1310774	Guf1
252928	628845	Timm13
102550385	7672286	Lyrm4
293754	735195	Mrpl16
287962	1565444	Mrpl40
25179	2863	Idh3g
289217	1359454	Sdhc
294964	1305909	Ndufb5
361726	1309216	Sdhaf2
362810	1562447	Coq10a
294326	1303003	Gatd3a
79462	71040	Txn2
301249	735229	Mrps18a
54322	620616	Cox6c
299954	1307114	Ndufb9
295922	1308080	Mtch2
315167	1309818	Ndufa6
117035	621443	Slc25a20
289491	1306850	Mrpl1
29635	3864	Timm44
89786	620548	Cox17
362641	1560187	Micos10
24787	3732	Sod2
688869	1584097	Cox6b1
83529	621575	Vdac1
301117	1588583	Clpp
113965	69321	Hadh
25287	2011	Acadl
25014	2016	Acat1
297082	1306936	Malsu1
300786	1304883	Clpx
499529	1594380	Ndufs4
363023	1311777	Mrpl4
29681	2230	C1qbp
307081	1310998	Pitrm1
683512	1585681	Uqcc1
287356	1308161	Mrpl55
363661	1566232	Mrm1
29470	3208	Mecr
301552	1309556	Mrpl44
313200	1305387	Hsdl2
289143	1309432	Mrps14
362302	1307655	Abcb8
303190	1305161	Atpaf2
362440	1307307	Ndufa9
102556031	7559315	Coa6
299604	1304599	Polrmt
288740	1309562	Iscu
309912	1563384	Rtn4ip1
290566	1310916	Ogdhl
116550	620011	Atp5f1c
29603	2198	Bckdk
294672	1309854	Gfm2
362495	735162	Ndufaf4
497933	1598229	Slc25a35
64201	708476	Slc25a11
64372	619840	Timm8b
315173	1306698	Mcat
363611	1306000	Iba57
114766	620203	Phb2
295238	1305339	Dap3
100363376	2324599	Cmc2
499125	1562079	Sdhaf1
288621	1307650	Mrps17
362474	1308863	Adhfe1
84594	620912	Nfs1
296190	1309829	Ndufaf5
171061	70943	Mrpl17
360645	1306784	Taco1
192647	621460	Mfn1
304488	1310383	Pptc7
293666	1359665	mrpl11
29445	68374	Cox4i1
29478	3156	Ndufs6
299938	1359587	Mrpl13
690163	1584008	Oxct1
94194	620608	Cox5b
81530	69428	Pdk2
65155	68392	Alas1
100363539	2322809	Mrpl33
300852	1308830	Mto1
305348	1307270	Lias
25488	3155	Ndufa5
297990	1311354	Ndufb6
288150	1306473	Mtx2
362404	1305008	Suclg2
29189	62036	Fdx1
29743	3703	Slc25a1
689025	1597461	Mrps28
687295	1587684	Timm50
83531	621576	Vdac2
689414	1592346	Slc25a42
685620	1591393	Tomm7
64526	69353	Ech1
361974	1307864	Gatb
301514	1359658	Bcs1l
363646	1304714	Eral1
363162	1305283	Cmc1
497876	1583741	Mrpl28
679068	1593058	Tsfm
499335	1565754	Fxn
297416	1307823	Nfu1
287924	1311696	Yars2
309140	1310203	Mrpl21
641316	1624206	Aldh4a1
304971	1562006	Tomm40l
296086	1306202	Ndufaf1
681418	1310782	Ndufb10
25618	2013	Acadsb
301371	1306558	Mrps9
360887	1308245	Coq8a
25363	2014	Acadvl
366013	1304638	Coq4
297799	1304796	Mrpl15
291660	1309997	Ndufa2
295224	1359289	mrpl24
63868	621314	Hspd1
362588	1311081	Ndufs5
26956	619885	Ak3
25309	2451	Cycs
81684	621680	Mipep
686506	1596391	Lyrm7
311849	1303031	Crat
24624	3265	Pccb
113958	1309164	Mrps7
300974	1306391	Mrpl3
680409	1590932	Prodh1
687008	3264	Pcca
294972	1310615	Mccc1
292758	1306221	Mrps12
65041	621328	Clpb
116551	69427	Pdk1
309176	1309920	Mrpl49
29507	68365	Cox7a2
293113	1305677	Tmem126a
298381	1308525	Echdc2
317444	1563855	Hccs
63938	708399	Hibadh
297372	1587381	Mrpl19
364656	1306375	Mrpl36
361074	1359702	Slc25a30
117099	620131	Bdh1
306879	1309416	Fars2
302395	1303086	Abcb7
295241	1559791	Mtx1
299643	1304597	Ndufa7
54311	3862	Timm17a
64040	68409	Aldh9a1
289469	1307997	Mrps18c
316403	1311527	Mars2
81708	621556	Aldh6a1
79122	621648	Fdxr
360821	1309698	Gatc
287069	1359733	Trap1
367196	1564209	Acad8
29539	69219	Aldh2
282819	628670	Ppif
79463	68406	Timm22
24513	2936	Ivd
314196	1306250	L2hgdh
292710	1311034	Ethe1
680747	1588219	Mrpl20
25176	620353	Slc25a5
362145	1305181	Slc25a12
689432	1592330	Mrps21
300075	1303260	Tomm22
170465	620482	Acaa2
301352	1308196	Mrpl30
360481	1306527	Dnaja3
362344	1308130	Ndufb2
287126	1305623	Mrps34
292845	1303312	Etfb
502479	1561501	Afg1l
25392	2181	Atp5if1
171375	620041	Atp5pb
100188937	2300145	Cox7c
296966	1310325	Chchd3
301416	1359509	Coq10b
498962	1586037	Acsf3
287544	1307022	Poldip2
170943	621430	Slc25a10
362322	1565889	Slc25a13
296849	1593276	Pdk3
361602	1311070	Me3
287302	1309277	Mrpl22
361596	1597139	Idh2
364975	1308829	Gcdh
294963	1307531	Mrpl47
310856	1307965	Ppa2
