 Name,Label,sex,Group,,CT,CT_ Mean,CT_ SD,Delta_CT,Delta_CT_mean,Delta_CT_SE,Level,Fold,Tissue
Mito DLoop,90245,F,Ctrl,1,18.61545181,18.56106949,0.076906875,-7.248556137,-7.220796585,0.027759552,149.1682397,0.975419411,LUNG
Mito DLoop,90248,F,Ctrl,2,18.47078896,18.50584793,0.04958088,-7.1367836,-7.193236351,0.056452751,146.3456802,0.956962538,LUNG
Mito DLoop,90252,F,Ctrl,3,18.32169914,18.2531929,0.096883804,-7.342403412,-7.557402611,0.214999199,188.3670234,1.231742437,LUNG
Mito DLoop,90265,F,Ctrl,4,18.10186195,18.03726578,0.091351442,-7.159408569,-7.285561562,0.126152992,156.0172308,1.020205345,LUNG
Mito DLoop,90266,F,Ctrl,5,18.62310028,18.59688759,0.037070345,-6.923112869,-6.962759972,0.039647102,124.7382377,0.81567027,LUNG
Mito DLoop,90217,M,Ctrl,6,18.54219246,18.57045555,0.039970048,-7.165071487,-7.116865158,0.048206329,138.8001347,0.897236934,LUNG
Mito DLoop,90229,M,Ctrl,7,18.29569626,18.3327179,0.0523565,-7.110523224,-7.08098793,0.029535294,135.3909906,0.87519942,LUNG
Mito DLoop,90232,M,Ctrl,8,18.18006897,18.2026062,0.03187111,-7.3066082,-7.276192665,0.030415535,155.0073339,1.002004107,LUNG
Mito DLoop,90237,M,Ctrl,9,18.0635643,18.05924606,0.006105561,-7.677026749,-7.58877182,0.088254929,192.5076303,1.244414902,LUNG
Mito DLoop,90239,M,Ctrl,10,18.38310242,18.49442673,0.157437697,-7.412887573,-7.24584198,0.167045593,151.7804303,0.981144638,LUNG
Mito DLoop,90559,F,1w,11,18.28017426,18.30323792,0.032616939,-7.31054306,-7.311386108,0.000843048,158.8351175,1.038631662,LUNG
Mito DLoop,90560,F,1w,12,18.8566761,18.82501602,0.044774115,-7.040727615,-7.109550476,0.068822861,138.0981781,0.903031663,LUNG
Mito DLoop,90564,F,1w,13,18.65747643,18.66877747,0.015982086,-7.159154892,-7.01091671,0.148238182,128.9722353,0.843356615,LUNG
Mito DLoop,90567,F,1w,14,18.59909248,18.56175041,0.052809663,-7.088039398,-7.080983162,0.007056236,135.3905432,0.885326287,LUNG
Mito DLoop,90571,F,1w,15,18.49464035,18.4560318,0.054600738,-7.184770584,-7.28424263,0.099472046,155.8746629,1.019273085,LUNG
Mito DLoop,90421,M,1w,16,18.34536743,18.50771332,0.229590401,-7.221244812,-7.116015434,0.105229378,138.7184078,0.896708632,LUNG
Mito DLoop,90422,M,1w,17,18.61570549,18.61017227,0.007826502,-6.973182678,-6.863476753,0.109705925,116.4427296,0.752713374,LUNG
Mito DLoop,90423,M,1w,18,18.7830143,18.85542488,0.102404028,-6.851949692,-6.813500404,0.038449287,112.4781066,0.727085112,LUNG
Mito DLoop,90426,M,1w,19,18.39529228,18.34490967,0.07125178,-6.889625549,-7.021482468,0.131856918,129.9202468,0.839835236,LUNG
Mito DLoop,90430,M,1w,20,18.77634048,18.84414673,0.095891163,-6.770683289,-6.788074493,0.017391205,110.5131697,0.714383295,LUNG
Mito DLoop,90251,F,8w,21,18.38678169,18.41574478,0.040959992,-7.181192398,-7.027276039,0.153916359,130.4430292,0.852974219,LUNG
Mito DLoop,90254,F,8w,22,18.46767235,18.4589119,0.01238915,-7.339899063,-7.380091667,0.040192604,166.5823416,1.089291191,LUNG
Mito DLoop,90258,F,8w,23,18.34020996,18.37001801,0.04215629,-7.349632263,-7.294289589,0.055342674,156.9639659,1.026396098,LUNG
Mito DLoop,90259,F,8w,24,18.70299911,18.63534164,0.095680766,-7.090646744,-7.091657639,0.001010895,136.3960107,0.891901095,LUNG
Mito DLoop,90267,F,8w,25,17.99086189,17.92409706,0.094419733,-7.164241791,-7.212356567,0.048114777,148.2981271,0.969729696,LUNG
Mito DLoop,90218,M,8w,26,18.6606884,18.67163467,0.015480369,-7.060668945,-7.084075928,0.023406982,135.6810969,0.877074735,LUNG
Mito DLoop,90222,M,8w,27,18.62521744,18.62045479,0.006735404,-7.203205109,-7.209944725,0.006739616,148.0504151,0.957032936,LUNG
Mito DLoop,90223,M,8w,28,18.86798096,18.9258461,0.081835017,-7.080034256,-6.989438057,0.090596199,127.0663363,0.821386883,LUNG
Mito DLoop,90225,M,8w,29,18.74614716,18.61525726,0.185106263,-6.991909027,-7.083246231,0.091337204,135.6030888,0.876570472,LUNG
Mito DLoop,90227,M,8w,30,18.20226288,18.23208046,0.042168427,-7.318145752,-7.371048927,0.052903175,165.5414773,1.070099304,LUNG
Mito DLoop,90245,F,Ctrl,1,16.18463516,16.05464935,0.183828369,-9.710840225,-9.809400558,0.098559856,897.2713638,0.965790597,SKM-GN
Mito DLoop,90248,F,Ctrl,2,15.68985558,15.71502495,0.035595544,-9.755342484,-9.80264473,0.047302723,893.0794586,0.961278581,SKM-GN
Mito DLoop,90252,F,Ctrl,3,15.46435738,15.47627449,0.016852669,-10.08399963,-10.07048988,0.013509274,1075.274944,1.157387242,SKM-GN
Mito DLoop,90265,F,Ctrl,4,15.56893158,15.55297089,0.022571154,-9.738231659,-9.87623024,0.137998104,939.8132124,1.011581111,SKM-GN
Mito DLoop,90266,F,Ctrl,5,15.83723545,15.87818527,0.057912469,-9.740643501,-9.713953018,0.02669096,839.8297113,0.90396247,SKM-GN
Mito DLoop,90217,M,Ctrl,6,15.46600151,15.44197464,0.033978451,-10.14454651,-10.04921913,0.095327854,1059.537645,1.103903999,SKM-GN
Mito DLoop,90229,M,Ctrl,7,15.72051811,15.79563141,0.106226243,-9.853965759,-9.743515968,0.110449791,857.2165943,0.893111095,SKM-GN
Mito DLoop,90232,M,Ctrl,8,15.99980164,15.97002983,0.042104363,-9.83495903,-9.825418472,0.009541035,907.2890723,0.945280274,SKM-GN
Mito DLoop,90237,M,Ctrl,9,15.6586504,15.6421833,0.023288663,-9.888810158,-9.936113358,0.047303677,979.6437249,1.020664656,SKM-GN
Mito DLoop,90239,M,Ctrl,10,15.48426247,15.47010803,0.020016719,-9.950868607,-9.959075928,0.008206844,995.3609153,1.037039977,SKM-GN
Mito DLoop,90559,F,1w,11,15.86113358,15.99118328,0.183918059,-9.817811966,-9.677417755,0.140394211,818.8286407,0.881357673,SKM-GN
Mito DLoop,90560,F,1w,12,16.25876045,16.26832581,0.013527453,-9.501836777,-9.385285378,0.116551399,668.732479,0.719799568,SKM-GN
Mito DLoop,90564,F,1w,13,16.04118919,16.09038353,0.069571294,-9.93828392,-9.898697853,0.039586067,954.5638247,1.027458139,SKM-GN
Mito DLoop,90567,F,1w,14,16.53430748,16.47068024,0.08998251,-9.5418396,-9.564515114,0.022675514,757.1918717,0.815014074,SKM-GN
Mito DLoop,90571,F,1w,15,15.9150877,16.0112114,0.135940105,-10.00250149,-9.843833923,0.158667088,918.944501,0.989118781,SKM-GN
Mito DLoop,90421,M,1w,16,15.75725842,15.78070354,0.033156421,-9.867260933,-9.769965172,0.097295761,873.0770519,0.909635683,SKM-GN
Mito DLoop,90422,M,1w,17,15.87177563,15.84246826,0.041446198,-9.676306725,-9.811258316,0.134951115,898.4275239,0.936047663,SKM-GN
Mito DLoop,90423,M,1w,18,15.7500124,15.74830723,0.002411474,-10.16483974,-9.993245125,0.17159462,1019.216713,1.061894696,SKM-GN
Mito DLoop,90426,M,1w,19,15.3091917,15.32446194,0.02159537,-10.15478039,-10.12215233,0.032628059,1114.477927,1.161144813,SKM-GN
Mito DLoop,90430,M,1w,20,16.48940849,16.49311256,0.005238348,-9.703662872,-9.723837852,0.02017498,845.6036844,0.881011914,SKM-GN
Mito DLoop,90251,F,8w,21,15.42840004,15.40639114,0.031125279,-10.19060707,-10.08877945,0.101827621,1088.993366,1.172153258,SKM-GN
Mito DLoop,90254,F,8w,22,15.61765385,15.75681973,0.196810275,-10.03446293,-9.929536819,0.104926109,975.1881733,1.049657445,SKM-GN
Mito DLoop,90258,F,8w,23,15.41098785,15.42149353,0.01485727,-10.39631081,-10.40446854,0.00815773,1355.367659,1.458868958,SKM-GN
Mito DLoop,90259,F,8w,24,15.65474415,15.73835564,0.118245177,-10.32249355,-10.25552559,0.066968441,1222.421061,1.315770026,SKM-GN
Mito DLoop,90267,F,8w,25,14.86647606,15.01493645,0.209954023,-10.59538078,-10.47010612,0.125275135,1418.456433,1.526775444,SKM-GN
Mito DLoop,90218,M,8w,26,15.36660671,15.26029587,0.150346234,-10.2580595,-10.35488987,0.096830368,1309.581263,1.364417772,SKM-GN
Mito DLoop,90222,M,8w,27,15.12434196,15.35131454,0.320988387,-10.50845337,-10.3006134,0.207840443,1261.228013,1.314039811,SKM-GN
Mito DLoop,90223,M,8w,28,15.09414291,15.06938076,0.035018973,-10.6126709,-10.59943962,0.013231277,1551.491009,1.616457081,SKM-GN
Mito DLoop,90225,M,8w,29,15.27817249,15.26832962,0.013919924,-10.51361179,-10.4503355,0.063276291,1399.150561,1.457737634,SKM-GN
