gene	direction
A1CF	exercise_up
ABCB10	exercise_up
ABCB8	exercise_up
ABCC6	exercise_up
ACAA1	exercise_up
ACAT2	exercise_up
ACBD4	exercise_up
ACOT12	exercise_up
ACOT13	exercise_up
ACOX2	exercise_up
ACSM2A	exercise_up
ACSS2	exercise_up
ACY3	exercise_up
ADH1C	exercise_up
AGL	exercise_up
AGXT2	exercise_up
AK2	exercise_up
AK3	exercise_up
AKR1A1	exercise_up
AKR1C4	exercise_up
AKR1D1	exercise_up
AKR7A2	exercise_up
ALDH1L1	exercise_up
ALDH5A1	exercise_up
ALDH6A1	exercise_up
ALDH8A1	exercise_up
ALDOB	exercise_up
ALDOC	exercise_up
ARF6	exercise_up
ASGR1	exercise_up
ASGR2	exercise_up
ASPDH	exercise_up
ATAD3A	exercise_up
BCL2L13	exercise_up
BHMT2	exercise_up
BPHL	exercise_up
C8orf82	exercise_up
CALR	exercise_up
CD82	exercise_up
CLEC4M	exercise_up
CLPX	exercise_up
CMC1	exercise_up
COPG1	exercise_up
COQ5	exercise_up
CPPED1	exercise_up
CRAT	exercise_up
CYP27A1	exercise_up
CYP51A1	exercise_up
DAO	exercise_up
DBT	exercise_up
DCAF11	exercise_up
DCXR	exercise_up
DECR1	exercise_up
DHRS3	exercise_up
DMGDH	exercise_up
DNAJC25	exercise_up
DPM3	exercise_up
DPYS	exercise_up
ECH1	exercise_up
ECHDC1	exercise_up
ECHDC2	exercise_up
ECHS1	exercise_up
ECI1	exercise_up
ECI2	exercise_up
EEFSEC	exercise_up
EHD3	exercise_up
ENTPD5	exercise_up
ERP44	exercise_up
ESD	exercise_up
ETFDH	exercise_up
FAH	exercise_up
FASN	exercise_up
FBP1	exercise_up
FBP2	exercise_up
FCGR2B	exercise_up
FDFT1	exercise_up
FDPS	exercise_up
FGGY	exercise_up
FH	exercise_up
FMC1	exercise_up
FMO5	exercise_up
FTCD	exercise_up
GALT	exercise_up
GATM	exercise_up
GBE1	exercise_up
GCDH	exercise_up
GCK	exercise_up
GFM1	exercise_up
GLUD1	exercise_up
GLUL	exercise_up
GMPPA	exercise_up
GNE	exercise_up
GORASP2	exercise_up
GPD1L	exercise_up
GPHN	exercise_up
GPT	exercise_up
GPT2	exercise_up
GSTA1	exercise_up
GSTZ1	exercise_up
HAAO	exercise_up
HADHA	exercise_up
HADHB	exercise_up
HAGH	exercise_up
HIBADH	exercise_up
HINT2	exercise_up
HMGCL	exercise_up
HMGCS1	exercise_up
HSD11B1	exercise_up
HSD17B10	exercise_up
HSD17B7	exercise_up
HSD17B8	exercise_up
HSDL2	exercise_up
HSP90B1	exercise_up
HSPD1	exercise_up
IARS2	exercise_up
IDH1	exercise_up
IDH2	exercise_up
IDI1	exercise_up
IQGAP2	exercise_up
ITPR2	exercise_up
IVD	exercise_up
KHK	exercise_up
LACTB	exercise_up
LAP3	exercise_up
LONP1	exercise_up
LRPPRC	exercise_up
LYPLA1	exercise_up
MAOA	exercise_up
MAOB	exercise_up
MCCC1	exercise_up
MCCC2	exercise_up
MLYCD	exercise_up
MMAB	exercise_up
MTCH2	exercise_up
MTTP	exercise_up
MTX1	exercise_up
MVD	exercise_up
MVK	exercise_up
MYO1B	exercise_up
NADK2	exercise_up
NAPRT	exercise_up
NDUFB10	exercise_up
NIT2	exercise_up
NSDHL	exercise_up
OXCT1	exercise_up
PBLD	exercise_up
PCBD2	exercise_up
PCK2	exercise_up
PCYT2	exercise_up
PDHX	exercise_up
PDIA3	exercise_up
PDIA4	exercise_up
PDZK1	exercise_up
PECR	exercise_up
PEX3	exercise_up
PFKL	exercise_up
PGAM5	exercise_up
PGM1	exercise_up
PHB	exercise_up
PHKB	exercise_up
PHKG2	exercise_up
PHYH	exercise_up
PMVK	exercise_up
PPIF	exercise_up
PRDX1	exercise_up
PRDX3	exercise_up
PSAT1	exercise_up
PSMA4	exercise_up
PSMA7	exercise_up
PSMB7	exercise_up
PYGL	exercise_up
QDPR	exercise_up
QPRT	exercise_up
REEP6	exercise_up
RER1	exercise_up
RGN	exercise_up
RIDA	exercise_up
RPLP1	exercise_up
SAR1B	exercise_up
SARDH	exercise_up
SCARB1	exercise_up
SCP2	exercise_up
SEC14L2	exercise_up
SEC14L4	exercise_up
SEC63	exercise_up
SEPSECS	exercise_up
SHMT1	exercise_up
SHMT2	exercise_up
SIRT3	exercise_up
SIRT5	exercise_up
SLC25A1	exercise_up
SLC25A10	exercise_up
SLC25A12	exercise_up
SLC25A20	exercise_up
SLC25A42	exercise_up
SLC27A2	exercise_up
SLC27A5	exercise_up
SLC39A14	exercise_up
SORD	exercise_up
SRPRA	exercise_up
STARD10	exercise_up
SUCLG2	exercise_up
SULT2A1	exercise_up
TKFC	exercise_up
TM7SF2	exercise_up
TOMM70	exercise_up
TPP2	exercise_up
TTC36	exercise_up
TUFM	exercise_up
TXNRD2	exercise_up
UGDH	exercise_up
UGP2	exercise_up
UGT2A3	exercise_up
UPB1	exercise_up
UROC1	exercise_up
USO1	exercise_up
USP9X	exercise_up
XDH	exercise_up
XPNPEP3	exercise_up
ABI1	exercise_down
ABRACL	exercise_down
ACTN4	exercise_down
AHNAK	exercise_down
AKR1B1	exercise_down
AMBP	exercise_down
ANXA4	exercise_down
ANXA7	exercise_down
APCS	exercise_down
APOD	exercise_down
ARPC1B	exercise_down
BAG3	exercise_down
BAIAP2L1	exercise_down
BLVRA	exercise_down
CALU	exercise_down
CCAR2	exercise_down
CDC42EP4	exercise_down
CHMP3	exercise_down
CIRBP	exercise_down
CLTA	exercise_down
CNRIP1	exercise_down
CORO1A	exercise_down
CTSC	exercise_down
CTTN	exercise_down
DBN1	exercise_down
DDX1	exercise_down
DDX46	exercise_down
DDX5	exercise_down
DNAJC8	exercise_down
DTD1	exercise_down
DVL3	exercise_down
EFEMP2	exercise_down
EGLN1	exercise_down
ERICH5	exercise_down
ERMP1	exercise_down
EXOC4	exercise_down
FBLL1	exercise_down
FBLN5	exercise_down
FUBP1	exercise_down
FYCO1	exercise_down
GAR1	exercise_down
GDI1	exercise_down
GIMAP4	exercise_down
GNS	exercise_down
GOLGA4	exercise_down
GOLM1	exercise_down
GPD2	exercise_down
HMGB1	exercise_down
HNRNPD	exercise_down
HNRNPDL	exercise_down
HNRNPK	exercise_down
HNRNPL	exercise_down
HNRNPLL	exercise_down
HNRNPU	exercise_down
HNRNPUL2	exercise_down
HSD17B2	exercise_down
ILK	exercise_down
KRT18	exercise_down
LAMTOR3	exercise_down
LAMTOR5	exercise_down
LASP1	exercise_down
LSM4	exercise_down
LSM6	exercise_down
LSP1	exercise_down
MAP3K20	exercise_down
MRE11	exercise_down
MYH14	exercise_down
MYL12B	exercise_down
MYO1D	exercise_down
NCL	exercise_down
NELFA	exercise_down
NID2	exercise_down
NOP2	exercise_down
NOP58	exercise_down
NUMA1	exercise_down
PA2G4	exercise_down
PAPLN	exercise_down
PARP1	exercise_down
PCNP	exercise_down
PDLIM7	exercise_down
PHIP	exercise_down
PIN1	exercise_down
PLIN3	exercise_down
PML	exercise_down
PPIH	exercise_down
PPP1R12B	exercise_down
PRKRA	exercise_down
PSME3	exercise_down
PTMA	exercise_down
PTPN23	exercise_down
PUF60	exercise_down
PURA	exercise_down
PURB	exercise_down
RAB11FIP5	exercise_down
RAD50	exercise_down
RALY	exercise_down
RBBP4	exercise_down
RBM4	exercise_down
RBP1	exercise_down
RND3	exercise_down
ROCK1	exercise_down
RSL1D1	exercise_down
RTRAF	exercise_down
RUVBL2	exercise_down
SAE1	exercise_down
SAMHD1	exercise_down
SART1	exercise_down
SART3	exercise_down
SCRN1	exercise_down
SERPINA3	exercise_down
SERPINB8	exercise_down
SERPINF1	exercise_down
SF1	exercise_down
SFPQ	exercise_down
SH3BGRL	exercise_down
SH3GLB2	exercise_down
SH3KBP1	exercise_down
SLC12A2	exercise_down
SMARCA5	exercise_down
SMC1A	exercise_down
SMC3	exercise_down
SRSF1	exercise_down
SRSF2	exercise_down
SRXN1	exercise_down
SSB	exercise_down
SUN2	exercise_down
TAT	exercise_down
TCOF1	exercise_down
TJP1	exercise_down
TKT	exercise_down
TLN2	exercise_down
TOR1A	exercise_down
TPD52L2	exercise_down
TRIM28	exercise_down
TRIOBP	exercise_down
TSC22D3	exercise_down
U2AF2	exercise_down
UAP1L1	exercise_down
UBA2	exercise_down
VILL	exercise_down
ZRANB2	exercise_down
