Accession,Entry,Description,CON 1,CON 2,CON 3,CON 4,CON 5,CON 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,CONTROL,CV,% proteome,HCM,CV,% proteome,HCM to CONTROL ratio (%),Tissue,Ome,Species
1433B_HUMAN,P31946,14 3 3 protein beta alpha OS Homo sapiens GN YWHAB PE 1 SV 3,0,0,0,36.6145,9.0014,0,0,3.3829,3.2128,14.262,28.7167,0,3.7235,14.0661,0,0,8.1551,7.60265,176.0484946,#DIV/0!,6.865372727,124.9593952,#DIV/0!,90.30236467,HEART,PROT,HUMAN
1433E_HUMAN,P62258,14 3 3 protein epsilon OS Homo sapiens GN YWHAE PE 1 SV 1,53.6184,49.4602,39.9199,103.1133,82.6131,41.0304,86.221,153.7155,62.1836,78.9265,52.2312,126.7862,58.8044,128.7728,54.2081,65.6738,101.151,61.62588333,37.87707225,#DIV/0!,88.06128182,37.79062976,#DIV/0!,142.8965835,HEART,PROT,HUMAN
1433F_HUMAN,Q04917,14 3 3 protein eta OS Homo sapiens GN YWHAH PE 1 SV 4,4.4169,0,0,3.3576,0,0,0,29.2835,0,5.3214,12.6271,1.9391,22.3409,0,0,0,4.07,1.29575,143.376942,#DIV/0!,6.871090909,141.8789735,#DIV/0!,530.2790592,HEART,PROT,HUMAN
1433G_HUMAN,P61981,14 3 3 protein gamma OS Homo sapiens GN YWHAG PE 1 SV 2,66.0904,17.757,44.2399,109.513,75.2656,71.933,89.329,67.8184,93.2372,140.5197,52.4884,65.4744,120.1365,90.2463,15.4911,97.3196,43.1354,64.13315,44.07677538,#DIV/0!,79.56327273,42.49629932,#DIV/0!,124.0595117,HEART,PROT,HUMAN
1433S_HUMAN,P31947,14 3 3 protein sigma OS Homo sapiens GN SFN PE 1 SV 1,0,0,0,0,0,0,0,0,0,9.9228,0,0,0,21.6943,0,0,0,0,#DIV/0!,#DIV/0!,2.874281818,229.3991905,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
1433T_HUMAN,P27348,14 3 3 protein theta OS Homo sapiens GN YWHAQ PE 1 SV 1,6.515,0,0,13.7211,0,0,6.3741,0,0,6.8887,0,0,1.7854,14.2811,8.8405,0,4.163,3.372683333,154.2862355,#DIV/0!,3.848436364,118.2462488,#DIV/0!,114.1060688,HEART,PROT,HUMAN
1433Z_HUMAN,P63104,14 3 3 protein zeta delta OS Homo sapiens GN YWHAZ PE 1 SV 1,58.6324,6.2511,41.8315,107.0886,71.8208,43.6915,60.0374,17.2815,20.2419,26.4424,40.4916,22.536,36.6668,101.467,6.9224,39.2628,61.5396,54.88598333,56.09258865,#DIV/0!,39.35358182,64.74111045,#DIV/0!,71.70060447,HEART,PROT,HUMAN
1A1L1_HUMAN,Q96QU6,1 aminocyclopropane 1 carboxylate synthase like protein 1 OS Homo sapiens GN ACCS PE 2 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7008,0,0,#DIV/0!,#DIV/0!,1.700072727,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
1B07_HUMAN,P01889,HLA class I histocompatibility antigen B 7 alpha chain OS Homo sapiens GN HLA B PE 1 SV 3,0,0,0,0,0,0,0,15.4497,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.404518182,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
2AAA_HUMAN,P30153,Serine threonine protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS Homo sapiens GN,0,0,0,0,30.5268,0,0,0,0,0,0,0,0,0,0,0,0,5.0878,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
3BHS2_HUMAN,P26439,3 beta hydroxysteroid dehydrogenase Delta 5 4 isomerase type 2 OS Homo sapiens GN HSD3B2 PE 1 SV 2,0,0,0,0,0,0,0,0,17.1032,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.554836364,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
3HIDH_HUMAN,P31937,3 hydroxyisobutyrate dehydrogenase mitochondrial OS Homo sapiens GN HIBADH PE 1 SV 2,19.7429,21.5092,49.9781,0,0,20.253,13.2652,80.9031,0,51.8866,32.1078,7.2187,18.1344,0,0,0,0,18.58053333,90.298734,#DIV/0!,18.50143636,136.930991,#DIV/0!,99.57430194,HEART,PROT,HUMAN
A1AG1_HUMAN,P02763,Alpha 1 acid glycoprotein 1 OS Homo sapiens GN ORM1 PE 1 SV 1,212.4496,264.7421,183.0867,609.1741,253.9904,363.3525,87.861,185.8466,175.0607,190.7671,320.1325,192.066,104.9346,212.784,40.9268,82.1424,455.2965,314.4659,45.53807383,#DIV/0!,186.1652909,60.47901971,#DIV/0!,59.20047004,HEART,PROT,HUMAN
A1AG2_HUMAN,P19652,Alpha 1 acid glycoprotein 2 OS Homo sapiens GN ORM2 PE 1 SV 2,0,8.6823,0,84.0286,18.4173,57.2612,36.742,2.1813,17.8876,46.5063,9.798,39.736,0,7.8838,0,35.4756,58.2884,28.0649,112.9436563,#DIV/0!,23.13627273,85.87802171,#DIV/0!,82.43846487,HEART,PROT,HUMAN
A1AT_HUMAN,P01009,Alpha 1 antitrypsin OS Homo sapiens GN SERPINA1 PE 1 SV 3,221.8387,221.5686,447.7748,887.2547,230.5244,503.049,376.942,135.2446,85.5992,98.7388,274.4249,123.0127,130.9364,450.5268,62.4609,250.4137,494.0878,418.6683667,56.9024755,#DIV/0!,225.6716182,65.25395953,#DIV/0!,53.9022377,HEART,PROT,HUMAN
A1BG_HUMAN,P04217,Alpha 1B glycoprotein OS Homo sapiens GN A1BG PE 1 SV 4,11.8548,0,0,0,0,14.9239,0,0,0,19.8247,0,0,0,0,0,0,19.4649,4.463116667,142.8077793,#DIV/0!,3.571781818,212.1429057,#DIV/0!,80.02886962,HEART,PROT,HUMAN
A2MG_HUMAN,P01023,Alpha 2 macroglobulin OS Homo sapiens GN A2M PE 1 SV 3,0,0,11.2377,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9387,1.87295,223.6067977,#DIV/0!,0.358063636,316.227766,#DIV/0!,19.11762921,HEART,PROT,HUMAN
AACT_HUMAN,P01011,Alpha 1 antichymotrypsin OS Homo sapiens GN SERPINA3 PE 1 SV 2,0,0,0,292.8268,0,9.7392,0,0,0,9.046,0,0,0,0,0,0,0,50.42766667,215.0853128,#DIV/0!,0.822363636,316.227766,#DIV/0!,1.630778679,HEART,PROT,HUMAN
AAKB2_HUMAN,O43741,5 AMP activated protein kinase subunit beta 2 OS Homo sapiens GN PRKAB2 PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,2.8842,0,0,0,0,0,#DIV/0!,#DIV/0!,0.2622,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
AARD_HUMAN,Q4LEZ3,Alanine and arginine rich domain containing protein OS Homo sapiens GN AARD PE 2 SV 1,0,0,8.6644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444066667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AATC_HUMAN,P17174,Aspartate aminotransferase cytoplasmic OS Homo sapiens GN GOT1 PE 1 SV 3,789.4267,514.9704,835.2244,964.3451,969.7004,761.032,480.3022,674.3647,443.0932,746.4521,765.1643,716.9323,430.8266,568.6945,296.3473,654.6112,569.3719,805.7831667,18.93804567,#DIV/0!,576.9236636,24.88597133,#DIV/0!,71.59787986,HEART,PROT,HUMAN
AATC2_HUMAN,Q8NHS2,Putative aspartate aminotransferase cytoplasmic 2 OS Homo sapiens GN GOT1L1 PE 2 SV 2,0,0,0,0,4.9679,0,0,0,0,0,0,0,0,0,0,0,0,0.827983333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AATF_HUMAN,Q9NY61,Protein AATF OS Homo sapiens GN AATF PE 1 SV 1,0,0,0,0,0,0,0,7.8924,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.717490909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
AATM_HUMAN,P00505,Aspartate aminotransferase mitochondrial OS Homo sapiens GN GOT2 PE 1 SV 3,865.8783,665.9537,786.7235,1094.4057,854.3165,991.4727,587.6162,981.943,598.435,1045.8704,1233.1726,798.9921,786.777,1212.7747,421.443,1044.9359,615.9644,876.4584,15.70600919,#DIV/0!,847.9931182,30.77831591,#DIV/0!,96.75223812,HEART,PROT,HUMAN
ABHEB_HUMAN,Q96IU4,Abhydrolase domain containing protein 14B OS Homo sapiens GN ABHD14B PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5092,0,#DIV/0!,#DIV/0!,0.1372,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ACADM_HUMAN,P11310,Medium chain specific acyl CoA dehydrogenase mitochondrial OS Homo sapiens GN ACADM PE 1 SV 1,293.7131,200.361,364.1671,390.0853,350.2898,425.3966,122.507,213.0695,374.1529,401.9958,401.7049,348.0582,384.5548,525.6899,129.1683,365.4951,264.9854,337.3354833,21.67938895,#DIV/0!,321.0347091,37.03936783,#DIV/0!,95.16778547,HEART,PROT,HUMAN
ACADS_HUMAN,P16219,Short chain specific acyl CoA dehydrogenase mitochondrial OS Homo sapiens GN ACADS PE 1 SV 1,0,0,0,4.5965,0,23.2316,0,0,0,0,44.1431,0,0,5.7882,0,0,0,4.638016667,182.9014822,#DIV/0!,4.539209091,278.3043013,#DIV/0!,97.86961577,HEART,PROT,HUMAN
ACADV_HUMAN,P49748,Very long chain specific acyl CoA dehydrogenase mitochondrial OS Homo sapiens GN ACADVL PE 1 SV 1,322.2044,246.7281,327.5091,340.6899,388.8779,223.2458,64.7213,77.7628,241.574,67.3057,256.116,323.5265,92.5093,101.6907,95.4857,113.7504,89.9847,308.2092,18.32021191,#DIV/0!,138.5842818,61.98894276,#DIV/0!,44.96435597,HEART,PROT,HUMAN
ACBG2_HUMAN,Q5FVE4,Long chain fatty acid CoA ligase ACSBG2 OS Homo sapiens GN ACSBG2 PE 1 SV 2,0,0,0,0,3.8956,0,0,0,0,0,0,0,0,0,0,0,0,0.649266667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ACBP_HUMAN,P07108,Acyl CoA binding protein OS Homo sapiens GN DBI PE 1 SV 2,0,0,30.6255,80.3122,0,0,0,0,0,0,0,0,0,0,0,0,0,18.48961667,161.3005771,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ACDSB_HUMAN,P45954,Short branched chain specific acyl CoA dehydrogenase mitochondrial OS Homo sapiens GN ACADSB PE 1 S,2.8316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471933333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ACINU_HUMAN,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus OS Homo sapiens GN ACIN1 PE 1 SV 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0558,0,#DIV/0!,#DIV/0!,0.368709091,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ACL6B_HUMAN,O94805,Actin like protein 6B OS Homo sapiens GN ACTL6B PE 1 SV 1,0,0,0,0,0,0,0,3.2746,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.297690909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ACO13_HUMAN,Q9NPJ3,Acyl coenzyme A thioesterase 13 OS Homo sapiens GN ACOT13 PE 1 SV 1,0,0,0,0,0,0,0,11.8121,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.073827273,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ACOC_HUMAN,P21399,Cytoplasmic aconitate hydratase OS Homo sapiens GN ACO1 PE 1 SV 3,3.8855,4.5056,0,6.4203,0,16.7239,4.695,4.4427,0,6.4539,15.0913,5.3889,0,17.8388,3.1307,0,15.1415,5.255883333,107.2248395,#DIV/0!,6.562072727,94.59414682,#DIV/0!,124.851948,HEART,PROT,HUMAN
ACON_HUMAN,Q99798,Aconitate hydratase mitochondrial OS Homo sapiens GN ACO2 PE 1 SV 2,1106.7955,732.5427,1009.0676,1169.649,983.8628,1011.6233,442.2628,266.0788,648.5959,1014.5863,1133.3637,1025.6101,645.0539,1646.0875,425.3535,998.0393,1135.0508,1002.256817,13.64197391,#DIV/0!,852.7347818,45.35185565,#DIV/0!,85.08146491,HEART,PROT,HUMAN
ACOT1_HUMAN,Q86TX2,Acyl coenzyme A thioesterase 1 OS Homo sapiens GN ACOT1 PE 1 SV 1,112.1846,26.3347,50.4298,16.9138,45.9532,26.1708,48.5433,12.9293,20.5199,64.1906,43.4668,98.7757,10.5571,82.1669,13.9907,119.6694,56.7687,46.33115,68.39754585,#DIV/0!,51.96167273,67.70135037,#DIV/0!,112.15278,HEART,PROT,HUMAN
ACOT2_HUMAN,P49753,Acyl coenzyme A thioesterase 2 mitochondrial OS Homo sapiens GN ACOT2 PE 1 SV 6,5.5307,49.4848,21.683,0,0,0,7.7935,18.9125,27.8809,65.8348,39.9993,86.0377,6.3795,33.1841,13.1407,10.8769,33.3579,12.78308333,141.715183,#DIV/0!,31.21798182,77.01119806,#DIV/0!,244.2132387,HEART,PROT,HUMAN
ACOT9_HUMAN,Q9Y305,Acyl coenzyme A thioesterase 9 mitochondrial OS Homo sapiens GN ACOT9 PE 1 SV 2,0,0,2.9824,5.3222,7.004,0,0,0,0,0,0,0,0,0,0,0,0,2.551433333,109.9492848,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
