Protein ID,Gene name,Degrees of freedom,F-values,Sums of squares,p-value,P-value (-Log10),qvalue,Post-hoc Tukey Cirrhosis vs. NASH,Post-hoc Tukey Cirrhosis vs. Healthy,Post-hoc Tukey NASH vs. Healthy,Tissue,Ome,Species
P51608-2,MECP2,2,14.15,7.08,0.00,4.53,0.00,Significant,Significant,,LIVER,PROT,HUMAN
P25311,AZGP1,2,9.01,2.53,0.00,3.17,0.01,Significant,,Significant,LIVER,PROT,HUMAN
A0A1W2PQV2,GCSH,2,7.68,1.67,0.00,2.78,0.02,Significant,Significant,,LIVER,PROT,HUMAN
Q9H2B4,SLC26A1,2,22.80,18.26,0.00,6.40,0.00,Significant,Significant,,LIVER,PROT,HUMAN
P43304,GPD2,2,8.55,5.28,0.00,3.04,0.01,Significant,Significant,,LIVER,PROT,HUMAN
E7EQR4,EZR,2,6.84,1.07,0.00,2.52,0.03,Significant,Significant,,LIVER,PROT,HUMAN
P28070,PSMB4,2,9.25,1.63,0.00,3.24,0.01,Significant,,,LIVER,PROT,HUMAN
A0A0U1RQV3,EFEMP1,2,12.45,141.54,0.00,4.11,0.00,Significant,Significant,,LIVER,PROT,HUMAN
P62140,PPP1CB,2,6.82,1.73,0.00,2.51,0.03,Significant,Significant,,LIVER,PROT,HUMAN
O14841,OPLAH,2,7.71,3.67,0.00,2.79,0.02,Significant,Significant,,LIVER,PROT,HUMAN
Q3KQV9,UAP1L1,2,8.75,9.17,0.00,3.10,0.01,Significant,Significant,,LIVER,PROT,HUMAN
Q9BXN1,ASPN,2,11.61,28.11,0.00,3.89,0.00,Significant,Significant,,LIVER,PROT,HUMAN
Q9H223,EHD4,2,20.86,5.28,0.00,6.02,0.00,Significant,Significant,,LIVER,PROT,HUMAN
Q53GG5-2,PDLIM3,2,19.09,43.95,0.00,5.65,0.00,Significant,Significant,,LIVER,PROT,HUMAN
Q9NY12,GAR1,2,13.22,2.32,0.00,4.30,0.00,Significant,Significant,,LIVER,PROT,HUMAN
