#,Channel,TMT1_126,TMT1_127,TMT1_128,TMT1_129,TMT1_130,TMT1_131,TMT10_126,TMT10_127,TMT10_128,TMT10_129,TMT10_130,TMT10_131,TMT11_127,TMT11_128,TMT11_129,TMT11_130,TMT11_131,TMT12_127,TMT12_128,TMT12_129,TMT12_130,TMT12_131,TMT2_126,TMT2_127,TMT2_128,TMT2_129,TMT2_130,TMT2_131,TMT3_126,TMT3_127,TMT3_128,TMT3_129,TMT3_130,TMT3_131,TMT4_126,TMT4_127,TMT4_128,TMT4_129,TMT4_130,TMT4_131,TMT5_126,TMT5_127,TMT5_128,TMT5_129,TMT5_130,TMT5_131,TMT6_126,TMT6_127,TMT6_128,TMT6_129,TMT6_130,TMT6_131,TMT7_126,TMT7_127,TMT7_128,TMT7_129,TMT7_130,TMT7_131,TMT8_126,TMT8_127,TMT8_128,TMT8_129,TMT8_130,TMT8_131,TMT9_126,TMT9_127,TMT9_128,TMT9_129,TMT9_130,TMT9_131,Tissue,Ome,Species
1,1433B_HUMAN,0.068576247,-0.031525006,0.014783097,-0.021402309,0.031377535,-0.129808787,-0.238747365,0.282225318,-0.036253839,-0.003284012,-0.072509853,0.021775282,0,0.093262136,0,-0.269300017,-0.002938768,-0.001800132,0.101060466,-0.060099241,0.161337058,-0.045084312,0.0177191,-0.000807123,0.024168503,-0.0215747,0.011386958,-0.103680597,0.011977414,-0.063966601,0.094150504,-0.092187599,0.081501751,-0.037458246,-0.072256339,0.0709987,0.033484678,0.067735549,0.008755777,-0.097704552,0.045915222,-0.17154874,0.113376053,0.024299728,-0.01536229,-0.140478289,0.105350189,-0.060449985,0.015952366,0.055883071,-0.071002065,-0.016353665,0.028751724,0.116132564,0.059081437,-0.026219593,-0.098966118,-0.058412998,-0.071745328,0.000632566,-0.066949001,0.066400378,0.059394928,0.101224137,0.010285063,-0.120108117,0.046507556,0.022361272,0.006112535,0.032662201,SKM,PROT,HUMAN
2,1433E_HUMAN,-0.007028206,-0.023673581,0.038534518,0.059693807,-0.024529524,-0.065280082,-0.017596175,0.049809932,-0.027781564,0.046621177,-0.040336859,-0.002887206,-0.127679428,0,0,0,0,-0.033551485,0,0.006688671,0.023556293,0,0.033226435,-0.073464793,0.019266848,-0.012884802,0.000834957,-0.01184121,0.016308499,-0.008360467,0.025814832,-0.013453343,-0.009757038,-0.02164311,-0.04902111,0.062123493,-0.013067236,0.061975915,-0.048226203,-0.011170127,0.020465091,-0.086025228,0.046235547,-0.030704955,-0.001283116,0.017975104,0.116193596,-0.007065517,0.011178091,-0.043611948,-0.000621294,-0.014318866,0.01139855,0.040521286,0.013266835,-0.015927147,-0.049094683,-0.008940671,0.021928562,-0.046434197,-0.063499735,0.033460601,0.057700993,0.025109192,0.029013588,-0.063338425,0.059267278,-0.019028887,-0.008166144,0.001179949,SKM,PROT,HUMAN
3,1433F_HUMAN,-0.028479029,0.005476078,0.048491737,0.058551697,0.007527045,-0.022541031,-0.172804637,0.228957538,0.017672972,0.087068739,-0.006981841,-0.075724354,-0.099150746,0.013172354,0,-0.000711648,0.048896461,-0.243784297,0,0.128141311,0.026758357,0,-0.045712172,0.001078742,0.015295524,0.135427731,-0.006039382,-0.093204899,0.08732638,-0.1708873,0.1148389,-0.1310115,0.03429479,0.02067367,-0.031900429,0.008548651,-0.011689502,0.177834282,0.019855796,-0.073387242,0.037133734,-0.152836705,0.156915962,0.044985822,-0.060538306,-0.076795507,0.194521207,0.000131667,0.008556366,-0.06875496,-0.024127014,-0.013256236,-0.067150465,0.139505961,0.087276668,0.051342494,-0.087276668,-0.061223477,0.011990321,-0.027051934,-0.018575399,0.138497289,-0.03343709,-0.076024155,0.035818225,-0.198782343,0.021559138,0.035387506,0.05616021,-0.023990079,SKM,PROT,HUMAN
4,1433G_HUMAN,0.006765964,-0.034821288,0.002363007,0.035049193,0.002552423,-0.020834687,-0.176925174,-0.041927882,-0.176380623,0.08973664,0.039952383,0.093865651,-0.165354802,0.13568453,0,-0.167916376,0,-0.019913504,0,0,0,0.06026184,-0.01541432,-0.056669493,0.044970633,0.027328287,0.052326771,-0.05886899,0.027561446,-0.000511561,-0.01203434,0.009637853,-0.015409083,-0.010835377,-0.06849851,0.022383381,0.04531464,0.129801776,-0.047225097,0.001828786,-0.028481063,0.016458795,0.034288296,-0.057803258,0.035633582,-0.077566678,0.089220197,-0.068647203,0.020215008,-0.060771415,0.003502461,0.046486524,-0.001846713,-0.009407709,-0.002295075,-0.011094955,-0.003161222,0.063908012,0.05601035,-0.039976954,-0.088388253,-0.047707301,0.109607798,0.111860672,-0.039136385,-0.111140484,-0.056909584,0.031192297,0.041284148,0.181999207,SKM,PROT,HUMAN
5,1433T_HUMAN,0.0774155,-0.057739184,-0.040850323,0.039791524,-0.145368531,0.104527938,-0.14991266,0.560979041,0.044135614,0.077635023,-0.182797538,-0.04447759,0,0,0,-0.132118778,0,-0.040974102,0.31421648,0,0.013036916,-0.286009725,0.026992553,0.137135351,-0.208915699,0.186772843,-0.13606271,0.00183941,0.080988182,-0.234602359,0.285856445,-0.091756017,-0.081736708,0.18699779,-0.046982001,-0.028567143,-0.193341527,0.105836696,0.244408693,-0.071012798,0.036375237,-0.190419451,0.27270499,0.050249134,-0.151636983,-0.040555702,0.040837183,-0.019237155,-0.00283464,0.055765368,-0.019241817,-0.090841104,0.01182507,0.08884767,0.1771021,-0.01205232,-0.1899924,-0.1018796,0.030603911,-0.370169359,-0.084066451,-0.144961881,0.661780054,0.085913869,-0.091176486,-0.152283456,0.096557665,0.164062833,0.025388236,0.001228025,SKM,PROT,HUMAN
6,1433Z_HUMAN,0.119029703,-0.02207805,0.028016947,-0.062133079,0.004391732,0.030182934,-0.150088826,0.524830369,-0.023502081,0.11542419,-0.079985248,0.020524627,0.05179619,-0.009160141,0,-0.164156477,0,-0.102511203,0.104578366,-0.000313038,0.002768477,0,0.028556695,0.062818999,-0.031940833,0.045426023,-0.102087324,-0.011835705,0.094005071,-0.056475687,0.21712406,-0.015814983,-0.08368665,-0.015377214,-0.02681055,0.014943058,-0.048302834,0.028637442,0.028305231,-0.010999187,0.090242815,-0.073108605,0.14606168,-0.061753611,-0.118595122,0.037469793,0.119421901,-0.032625312,0.045863755,-0.04066255,-0.09353328,0.031621093,-0.070666519,0.009911487,0.167302415,-0.023596665,-0.0523371,0.052606689,-0.0010682,-0.12313827,-0.149476274,0.068802051,0.31473863,0.080501588,-0.098990862,-0.091218478,0.027674779,0.066348791,-0.003181316,0.038392992,SKM,PROT,HUMAN
7,1A02_HUMAN,-0.4137488,0.08365747,0.1731795,-0.09262361,-0.08365747,0.08918664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05612152,-0.1308394,-1.232957,0,0.8881613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2500791,0.3817522,-0.4158725,-0.4165276,0.5873112,0.4596595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
8,2A5A_HUMAN,0.004488868,0.094715142,-0.03203828,0.034051202,0.10484379,-0.165074355,-0.06512311,-0.1909587,0.03147717,0.1719477,-0.1385873,0.02454538,0,0.199032776,0.014244032,-0.34285132,0.447814391,-0.068236879,0,0,-0.220430899,0.245416413,0.009740722,-0.182635644,0.023100775,0.050339339,-0.031041333,0.015032059,0.003220936,-0.002033542,-0.082118909,0.002033542,-0.015337938,0.04829793,-0.08564323,0.12461946,-0.041122215,0.094767158,-0.151324961,0.038742719,-0.004441192,0.004426012,0.008193983,-0.042488891,0.002666455,0.01456833,0.048187117,-0.001678345,-0.216768047,-0.294302324,-0.048187117,0.09018428,0.083714795,-0.202259361,-0.008988256,0.021642515,-0.016212431,0.121431116,-0.038546732,0.115719327,-0.184323192,-0.012505606,-0.042447216,0.149478638,-0.017837674,0.049216992,-0.00226859,0.024269815,-0.057228112,0.025257662,SKM,PROT,HUMAN
9,2A5D_HUMAN,0.029505238,-0.074614354,0.001151374,0.008800775,0.007963931,0.013977026,0.010030932,0.000423136,0.055979984,0.02718837,-0.104376819,-0.061819101,0.048015418,0,0,0.100243733,-0.116968686,-0.012777417,0,0,0,0.016275425,0.054533625,-0.084572862,-0.02435551,0.053050934,-0.021914088,-0.020224295,0.099638689,-0.032853306,0.038491525,0.001131572,-0.039494324,-0.022998386,0.00161355,-0.005779112,-0.00161355,0.02430095,-0.055906857,0.029637274,-0.034025674,0.026392436,0.034025674,0.11104375,-0.01281003,-0.064248476,-0.063100861,-0.096041977,0.248727338,0.051267684,-0.092655561,-0.021014131,0.001782451,-0.039476415,0.086681118,-0.020108516,0.035251958,-0.040780835,-0.043334876,0.043874367,-0.047910853,0.211079943,-0.072134532,-0.068517898,-0.039227035,-0.031788097,0.031788097,-0.012419064,-0.027791862,0.128825166,SKM,PROT,HUMAN
10,2A5E_HUMAN,0.008975271,-0.050178184,0.207568784,0.019736183,-0.014888661,0.052092601,0.02172583,0.0249151,-0.03435852,0.03435852,-0.002815656,-0.06305206,0.292220242,0.115876817,-0.030723709,0.227009117,-0.086470563,0,0,-0.06108502,0.037856,0,-0.011941893,0.017256139,-0.014863431,0.08898655,-0.125183713,0.005775739,0.2302742,-0.02036458,-0.05311987,0.02036458,0.02775912,-0.1577845,0.088248646,0.040563046,0.075161743,-0.008521607,-0.040563046,-0.108519104,-0.02939999,-0.07871809,0.0215018,0.05560199,0.0174077,0.008812906,0.059942686,-0.166159772,0.023530042,0.047876267,-0.058920462,0.000266471,-0.03774257,0.07875939,0.1071838,-0.01600133,-0.03616536,-0.0228311,-0.1016947,0.003823331,0.03980443,-0.005241678,0.04912811,-0.0142566,0.126381198,0.013804637,-0.010355826,0.010355826,-0.082633862,-0.131955581,SKM,PROT,HUMAN
