From	To
LDB3_HUMAN	LDB3
HSPB2_HUMAN	HSPB2
TBB5_HUMAN	TUBB
COF2_HUMAN	CFL2
FHL1_HUMAN	FHL1
MYPC3_HUMAN	MYBPC3
CAH3_HUMAN	CA3
PDLI1_HUMAN	PDLIM1
HSPB6_HUMAN	HSPB6
QOR_HUMAN	CRYZ
HBD_HUMAN	HBD
PGM5_HUMAN	PGM5
KINH_HUMAN	KIF5B
PWP2B_HUMAN	PWWP2B
JKIP3_HUMAN	JAKMIP3
IGHG3_HUMAN	IGHG3
THIO_HUMAN	TXN
ENOG_HUMAN	ENO2
FUMH_HUMAN	FH
PPIF_HUMAN	PPIF
TPIS_HUMAN	TPI1
POTEF_HUMAN	POTEF
SODC_HUMAN	SOD1
FETUA_HUMAN	AHSG
MCMBP_HUMAN	MCMBP
G6PI_HUMAN	GPI
TERA_HUMAN	VCP
MTMR1_HUMAN	MTMR1
HSP76_HUMAN	HSPA6
LUM_HUMAN	LUM
MYL3_HUMAN	MYL3
MYL4_HUMAN	MYL4
ATIF1_HUMAN	ATP5IF1
ASAH1_HUMAN	ASAH1
NEST_HUMAN	NES
VINC_HUMAN	VCL
ALBU_HUMAN	ALB
PSB2_HUMAN	PSMB2
TNNI3_HUMAN	TNNI3
LRC39_HUMAN	LRRC39
MLRV_HUMAN	MYL2
PDIA1_HUMAN	P4HB
CSRP3_HUMAN	CSRP3
MAP4_HUMAN	MAP4
ECHM_HUMAN	ECHS1
IGKC_HUMAN	IGKC
PROF1_HUMAN	PFN1
TNNC1_HUMAN	TNNC1
POTEJ_HUMAN	POTEJ
PDIA6_HUMAN	PDIA6
TTHY_HUMAN	TTR
SRBS2_HUMAN	SORBS2
WIT1_HUMAN	WT1-AS
ENOB_HUMAN	ENO3
KV401_HUMAN	IGKV4-1
RSSA_HUMAN	RPSA
ACTN2_HUMAN	ACTN2
AATM_HUMAN	GOT2
ADT3_HUMAN	SLC25A6
ACTS_HUMAN	ACTA1
SIT1_HUMAN	SIT1
TPRKB_HUMAN	TPRKB
HINT2_HUMAN	HINT2
KAPCA_HUMAN	PRKACA
GSTM3_HUMAN	GSTM3
TBB4A_HUMAN	TUBB4A
IGHG4_HUMAN	IGHG4
HBB_HUMAN	HBB
UBB_HUMAN	UBB
SODE_HUMAN	SOD3
RBM25_HUMAN	RBM25
C1QBP_HUMAN	C1QBP
SCOT1_HUMAN	OXCT1
PPIA_HUMAN	PPIA
ACOT2_HUMAN	ACOT2
HBA_HUMAN	HBA1
HBA_HUMAN	HBA2
HSP7C_HUMAN	HSPA8
ACADM_HUMAN	ACADM
3HIDH_HUMAN	HIBADH
PSA2_HUMAN	PSMA2
S10A1_HUMAN	S100A1
CB069_HUMAN	C2orf69
MYH4_HUMAN	MYH4
PGM1_HUMAN	PGM1
CASQ2_HUMAN	CASQ2
HSPB1_HUMAN	HSPB1
PYGB_HUMAN	PYGB
PRDX3_HUMAN	PRDX3
CQ064_HUMAN	C17orf64
TNNT2_HUMAN	TNNT2
IGHG1_HUMAN	IGHG1
HBE_HUMAN	HBE1
PDE4C_HUMAN	PDE4C
MYH6_HUMAN	MYH6
ACTA_HUMAN	ACTA2
MYH7_HUMAN	MYH7
ISOC1_HUMAN	ISOC1
ADT4_HUMAN	SLC25A31
TRFE_HUMAN	TF
NELFE_HUMAN	NELFE
ISOC2_HUMAN	ISOC2
TPM1_HUMAN	TPM1
APOA2_HUMAN	APOA2
HSPB7_HUMAN	HSPB7
ACTG_HUMAN	ACTG1
CRYM_HUMAN	CRYM
FABPH_HUMAN	FABP3
ENO1_YEAST	ENO1
PIMT_HUMAN	PCMT1
PTN1_HUMAN	PTPN1
ACTBL_HUMAN	ACTBL2
MOES_HUMAN	MSN
TPM4_HUMAN	TPM4
RLA2_HUMAN	RPLP2
K2C75_HUMAN	KRT75
TAGL_HUMAN	TAGLN
ENOA_HUMAN	ENO1
1433Z_HUMAN	YWHAZ
IMDH1_HUMAN	IMPDH1
SEPT1_HUMAN	SEPTIN1
TPM2_HUMAN	TPM2
ACTN3_HUMAN	ACTN3
DCD_HUMAN	DCD
CAH1_HUMAN	CA1
GSHR_HUMAN	GSR
MYH7B_HUMAN	MYH7B
SCLT1_HUMAN	SCLT1
