From	To
1433B_HUMAN	YWHAB
1433E_HUMAN	YWHAE
1433F_HUMAN	YWHAH
1433G_HUMAN	YWHAG
1433S_HUMAN	SFN
1433T_HUMAN	YWHAQ
1433Z_HUMAN	YWHAZ
1A1L1_HUMAN	ACCS
2AAA_HUMAN	PPP2R1A
3BHS2_HUMAN	HSD3B2
3HIDH_HUMAN	HIBADH
A1AG1_HUMAN	ORM1
A1AG2_HUMAN	ORM2
A1AT_HUMAN	SERPINA1
A1BG_HUMAN	A1BG
A2MG_HUMAN	A2M
AACT_HUMAN	SERPINA3
AAKB2_HUMAN	PRKAB2
AARD_HUMAN	AARD
AATC_HUMAN	GOT1
AATC2_HUMAN	GOT1L1
AATF_HUMAN	AATF
AATM_HUMAN	GOT2
ABHEB_HUMAN	ABHD14B
ACADM_HUMAN	ACADM
ACADS_HUMAN	ACADS
ACADV_HUMAN	ACADVL
ACBG2_HUMAN	ACSBG2
ACBP_HUMAN	DBI
ACDSB_HUMAN	ACADSB
ACINU_HUMAN	ACIN1
ACL6B_HUMAN	ACTL6B
ACO13_HUMAN	ACOT13
ACON_HUMAN	ACO2
ACOT1_HUMAN	ACOT1
ACOT2_HUMAN	ACOT2
ACOT9_HUMAN	ACOT9
ACS2L_HUMAN	ACSS1
ACSL1_HUMAN	ACSL1
ACTA_HUMAN	ACTA2
ACTB_HUMAN	ACTB
ACTBL_HUMAN	ACTBL2
ACTBM_HUMAN	POTEKP
ACTC_HUMAN	ACTC1
ACTG_HUMAN	ACTG1
ACTH_HUMAN	ACTG2
ACTN1_HUMAN	ACTN1
ACTN2_HUMAN	ACTN2
ACTN3_HUMAN	ACTN3
ACTN4_HUMAN	ACTN4
ACTS_HUMAN	ACTA1
ACTT3_HUMAN	ACTRT3
ADH1B_HUMAN	ADH1B
ADHX_HUMAN	ADH5
ADIPO_HUMAN	ADIPOQ
ADT1_HUMAN	SLC25A4
ADT2_HUMAN	SLC25A5
ADT3_HUMAN	SLC25A6
ADT4_HUMAN	SLC25A31
AFG32_HUMAN	AFG3L2
AGO1_HUMAN	AGO1
AGO4_HUMAN	AGO4
AGR3_HUMAN	AGR3
AIF1L_HUMAN	AIF1L
AIFM1_HUMAN	AIFM1
AINX_HUMAN	INA
AIRE_HUMAN	AIRE
AK1BF_HUMAN	AKR1B15
AKA10_HUMAN	AKAP10
AKAP9_HUMAN	AKAP9
AKND1_HUMAN	AKNAD1
AKT3_HUMAN	AKT3
AL4A1_HUMAN	ALDH4A1
AL7A1_HUMAN	ALDH7A1
AL9A1_HUMAN	ALDH9A1
ALAT1_HUMAN	GPT
ALBU_HUMAN	ALB
ALDH2_HUMAN	ALDH2
ALDOA_HUMAN	ALDOA
ALDOC_HUMAN	ALDOC
ALDR_HUMAN	AKR1B1
AMPL_HUMAN	LAP3
AN32A_HUMAN	ANP32A
ANFB_HUMAN	NPPB
ANGT_HUMAN	AGT
ANKK1_HUMAN	ANKK1
ANKR2_HUMAN	ANKRD2
ANM5_HUMAN	PRMT5
ANR35_HUMAN	ANKRD35
ANR39_HUMAN	ANKRD39
ANS4B_HUMAN	ANKS4B
ANT3_HUMAN	SERPINC1
ANX11_HUMAN	ANXA11
ANXA1_HUMAN	ANXA1
ANXA2_HUMAN	ANXA2
ANXA3_HUMAN	ANXA3
ANXA5_HUMAN	ANXA5
ANXA6_HUMAN	ANXA6
ANXA7_HUMAN	ANXA7
AOFB_HUMAN	MAOB
AP1S1_HUMAN	AP1S1
AP3D1_HUMAN	AP3D1
APBB2_HUMAN	APBB2
APC13_HUMAN	ANAPC13
APMAP_HUMAN	APMAP
APOA1_HUMAN	APOA1
APOA2_HUMAN	APOA2
APOA4_HUMAN	APOA4
APOH_HUMAN	APOH
APOL3_HUMAN	APOL3
ARF1_HUMAN	ARF1
ARF3_HUMAN	ARF3
ARF4_HUMAN	ARF4
ARF5_HUMAN	ARF5
ARG33_HUMAN	ARHGEF33
ARHL1_HUMAN	ADPRHL1
ARI5B_HUMAN	ARID5B
ARK72_HUMAN	AKR7A2
ARL3_HUMAN	ARL3
ARL4D_HUMAN	ARL4D
ARLY_HUMAN	ASL
ARMC3_HUMAN	ARMC3
ARMS2_HUMAN	ARMS2
ARP10_HUMAN	ACTR10
ARP3_HUMAN	ACTR3
ARP6_HUMAN	ACTR6
ARRD1_HUMAN	ARRDC1
ARY1_HUMAN	NAT1
ASAH1_HUMAN	ASAH1
ASCL5_HUMAN	ASCL5
ASGR2_HUMAN	ASGR2
ASPC1_HUMAN	ASPSCR1
AT1A3_HUMAN	ATP1A3
AT1B1_HUMAN	ATP1B1
AT2A1_HUMAN	ATP2A1
AT2A2_HUMAN	ATP2A2
AT2A3_HUMAN	ATP2A3
AT2B1_HUMAN	ATP2B1
AT2B3_HUMAN	ATP2B3
AT5EL_HUMAN	ATP5F1EP2
AT5F1_HUMAN	ATP5PB
AT7L2_HUMAN	ATXN7L2
ATG10_HUMAN	ATG10
ATGA1_HUMAN	ATG101
ATIF1_HUMAN	ATP5IF1
ATP5H_HUMAN	ATP5PD
ATP5I_HUMAN	ATP5ME
ATP5J_HUMAN	ATP5PF
ATP5L_HUMAN	ATP5MG
ATP6_HUMAN	MT-ATP6
ATPA_HUMAN	ATP5F1A
ATPB_HUMAN	ATP5F1B
ATPD_HUMAN	ATP5F1D
ATPG_HUMAN	ATP5F1C
ATPK_HUMAN	ATP5MF
ATPO_HUMAN	ATP5PO
AURKB_HUMAN	AURKB
AVR2B_HUMAN	ACVR2B
AXA2L_HUMAN	ANXA2P2
AZI2_HUMAN	AZI2
B2L13_HUMAN	BCL2L13
B2L15_HUMAN	BCL2L15
B4GT4_HUMAN	B4GALT4
B9D1_HUMAN	B9D1
BAF_HUMAN	BANF1
BAG5_HUMAN	BAG5
BASI_HUMAN	BSG
BASP1_HUMAN	BASP1
BBS2_HUMAN	BBS2
BCAT2_HUMAN	BCAT2
BFSP2_HUMAN	BFSP2
BHE41_HUMAN	BHLHE41
BIG1_HUMAN	ARFGEF1
BLVRB_HUMAN	BLVRB
BRE1A_HUMAN	RNF20
BRSK2_HUMAN	BRSK2
BST2_HUMAN	BST2
C1QBP_HUMAN	C1QBP
CA109_HUMAN	C1orf109
CA185_HUMAN	C1orf185
CABL1_HUMAN	CABLES1
CABP5_HUMAN	CABP5
CAD13_HUMAN	CDH13
CADH2_HUMAN	CDH2
CAH1_HUMAN	CA1
CAH10_HUMAN	CA10
CAH2_HUMAN	CA2
CAH3_HUMAN	CA3
CALB2_HUMAN	CALB2
CALD1_HUMAN	CALD1
CALL3_HUMAN	CALML3
CALL4_HUMAN	CALML4
CALR_HUMAN	CALR
CALU_HUMAN	CALU
CALY_HUMAN	CALY
CAN1_HUMAN	CAPN1
CASP1_HUMAN	CASP1
CASP9_HUMAN	CASP9
CASQ2_HUMAN	CASQ2
CATD_HUMAN	CTSD
CATW_HUMAN	CTSW
CAV1_HUMAN	CAV1
CAYP1_HUMAN	CAPS
CB069_HUMAN	C2orf69
CBR1_HUMAN	CBR1
CBR3_HUMAN	CBR3
CBR4_HUMAN	CBR4
CBX3_HUMAN	CBX3
CBX7_HUMAN	CBX7
CBX8_HUMAN	CBX8
CBY1_HUMAN	CBY1
CC036_HUMAN	C3orf36
CC074_HUMAN	LINC00696
CC103_HUMAN	CCDC103
CC122_HUMAN	CCDC122
CC126_HUMAN	CCDC126
CC127_HUMAN	CCDC127
CC153_HUMAN	CCDC153
CC166_HUMAN	CCDC166
CC85B_HUMAN	CCDC85B
CCD15_HUMAN	CCDC15
CCD61_HUMAN	CCDC61
CCD81_HUMAN	CCDC81
CCDC8_HUMAN	CCDC8
CCHCR_HUMAN	CCHCR1
CCHL_HUMAN	HCCS
CCL19_HUMAN	CCL19
CCL27_HUMAN	CCL27
CCZ1B_HUMAN	CCZ1B
CD158_HUMAN	CCDC158
CD40L_HUMAN	CD40LG
CDC37_HUMAN	CDC37
CDK14_HUMAN	CDK14
CDK6_HUMAN	CDK6
CDK8_HUMAN	CDK8
CDRT1_HUMAN	FBXW10B
CE112_HUMAN	CEP112
CEAM1_HUMAN	CEACAM1
CEAM3_HUMAN	CEACAM3
CENPI_HUMAN	CENPI
CENPQ_HUMAN	CENPQ
CEP85_HUMAN	CEP85
CEP95_HUMAN	CEP95
CERKL_HUMAN	CERKL
CETN2_HUMAN	CETN2
CFAB_HUMAN	CFB
CG033_HUMAN	C7orf33
CGNL1_HUMAN	CGNL1
CH071_HUMAN	LINC00588
CH10_HUMAN	HSPE1
CH60_HUMAN	HSPD1
CHCH1_HUMAN	CHCHD1
CHCH2_HUMAN	CHCHD2
CHD1_HUMAN	CHD1
CHMP3_HUMAN	CHMP3
CHSTD_HUMAN	CHST13
CING_HUMAN	CGN
CISY_HUMAN	CS
CK024_HUMAN	C11orf24
CK054_HUMAN	C11orf54
CL050_HUMAN	C12orf50
CL060_HUMAN	C12orf60
CL061_HUMAN	LINC01465
CLAT_HUMAN	CHAT
CLC14_HUMAN	CLEC14A
CLC3A_HUMAN	CLEC3A
CLCF1_HUMAN	CLCF1
CLD15_HUMAN	CLDN15
CLIC1_HUMAN	CLIC1
CLIC3_HUMAN	CLIC3
CLIC4_HUMAN	CLIC4
CLN6_HUMAN	CLN6
CLPB_HUMAN	CLPB
CLUS_HUMAN	CLU
CLVS1_HUMAN	CLVS1
CMBL_HUMAN	CMBL
CN093_HUMAN	C14orf93
CNKR2_HUMAN	CNKSR2
CNKR3_HUMAN	CNKSR3
CNTD1_HUMAN	CNTD1
CNTN6_HUMAN	CNTN6
CO053_HUMAN	LINC02694
CO3_HUMAN	C3
COE4_HUMAN	EBF4
COF1_HUMAN	CFL1
COF2_HUMAN	CFL2
COG1_HUMAN	COG1
COG6_HUMAN	COG6
COPE_HUMAN	COPE
COQ3_HUMAN	COQ3
COQ9_HUMAN	COQ9
COX17_HUMAN	COX17
COX2_HUMAN	MT-CO2
COX41_HUMAN	COX4I1
COX5A_HUMAN	COX5A
COX5B_HUMAN	COX5B
COX6C_HUMAN	COX6C
COX7C_HUMAN	COX7C
COXM1_HUMAN	CMC1
CP046_HUMAN	C16orf46
CP081_HUMAN	LINC00304
CP135_HUMAN	CEP135
CPEB2_HUMAN	CPEB2
CPT1B_HUMAN	CPT1B
CQ058_HUMAN	C17orf58
CQ064_HUMAN	C17orf64
CR063_HUMAN	C18orf63
CRBB3_HUMAN	CRYBB3
CRIP2_HUMAN	CRIP2
CROCC_HUMAN	CROCC
CROL1_HUMAN	CROCCP2
CRYAB_HUMAN	CRYAB
CRYM_HUMAN	CRYM
CSHL_HUMAN	CSHL1
CSN8_HUMAN	COPS8
CSRP3_HUMAN	CSRP3
CTNA1_HUMAN	CTNNA1
CTNA3_HUMAN	CTNNA3
CTNB1_HUMAN	CTNNB1
CTNL1_HUMAN	CTNNAL1
CTRC_HUMAN	CTRC
CTXN1_HUMAN	CTXN1
CUL1_HUMAN	CUL1
CUTA_HUMAN	CUTA
CV031_HUMAN	C22orf31
CX6B1_HUMAN	COX6B1
CX7A1_HUMAN	COX7A1
CX7A2_HUMAN	COX7A2
CXCL5_HUMAN	CXCL5
CY1_HUMAN	CYC1
CYC_HUMAN	CYCS
CYS1_HUMAN	CYS1
CYTA_HUMAN	CSTA
CYTB_HUMAN	CSTB
CYTL1_HUMAN	CYTL1
CYTSB_HUMAN	SPECC1
DAZ1_HUMAN	DAZ1
DBNL_HUMAN	DBNL
DC122_HUMAN	DCAF12L2
DC1L1_HUMAN	DYNC1LI1
DCK_HUMAN	DCK
DCMC_HUMAN	MLYCD
DCNL5_HUMAN	DCUN1D5
DCTN2_HUMAN	DCTN2
DCXR_HUMAN	DCXR
DDAH2_HUMAN	DDAH2
DDIT3_HUMAN	DDIT3
DDX43_HUMAN	DDX43
DDX5_HUMAN	DDX5
DECR_HUMAN	DECR1
DECR2_HUMAN	DECR2
DESM_HUMAN	DES
DGUOK_HUMAN	DGUOK
DHB11_HUMAN	HSD17B11
DHB14_HUMAN	HSD17B14
DHE3_HUMAN	GLUD1
DHE4_HUMAN	GLUD2
DHPR_HUMAN	QDPR
DHRSX_HUMAN	DHRSX
DIRA2_HUMAN	DIRAS2
