cluster,ome,feature_ID,tissue,feature
3,PHOSPHO,NP_059007.1_S26s,HEART,PHOSPHO;HEART;NP_059007.1_S26s
4,PHOSPHO,NP_071793.1_T103t,SKM-GN,PHOSPHO;SKM-GN;NP_071793.1_T103t
4,TRNSCRPT,ENSRNOG00000000064,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000064
4,TRNSCRPT,ENSRNOG00000000122,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000122
2,TRNSCRPT,ENSRNOG00000000185,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000185
2,TRNSCRPT,ENSRNOG00000000279,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000279
4,TRNSCRPT,ENSRNOG00000000281,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000281
2,TRNSCRPT,ENSRNOG00000000392,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000392
4,TRNSCRPT,ENSRNOG00000000610,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000610
2,TRNSCRPT,ENSRNOG00000000658,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000658
4,TRNSCRPT,ENSRNOG00000000812,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000812
2,TRNSCRPT,ENSRNOG00000001058,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001058
4,TRNSCRPT,ENSRNOG00000001170,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001170
2,TRNSCRPT,ENSRNOG00000001171,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001171
2,TRNSCRPT,ENSRNOG00000001177,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001177
4,TRNSCRPT,ENSRNOG00000001182,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001182
2,TRNSCRPT,ENSRNOG00000001211,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001211
4,TRNSCRPT,ENSRNOG00000001440,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001440
2,TRNSCRPT,ENSRNOG00000001517,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001517
2,TRNSCRPT,ENSRNOG00000001717,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001717
2,TRNSCRPT,ENSRNOG00000001770,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001770
4,TRNSCRPT,ENSRNOG00000001842,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001842
4,TRNSCRPT,ENSRNOG00000001991,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000001991
2,TRNSCRPT,ENSRNOG00000002115,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002115
2,TRNSCRPT,ENSRNOG00000002205,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002205
2,TRNSCRPT,ENSRNOG00000002207,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002207
4,TRNSCRPT,ENSRNOG00000002255,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002255
4,TRNSCRPT,ENSRNOG00000002721,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002721
4,TRNSCRPT,ENSRNOG00000002840,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002840
4,TRNSCRPT,ENSRNOG00000002852,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002852
3,TRNSCRPT,ENSRNOG00000002977,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000002977
2,TRNSCRPT,ENSRNOG00000003049,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003049
2,TRNSCRPT,ENSRNOG00000003150,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003150
4,TRNSCRPT,ENSRNOG00000003163,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003163
2,TRNSCRPT,ENSRNOG00000003253,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003253
4,TRNSCRPT,ENSRNOG00000003330,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003330
4,TRNSCRPT,ENSRNOG00000003398,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003398
2,TRNSCRPT,ENSRNOG00000003580,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003580
4,TRNSCRPT,ENSRNOG00000003626,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003626
4,TRNSCRPT,ENSRNOG00000003653,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003653
4,TRNSCRPT,ENSRNOG00000003815,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003815
2,TRNSCRPT,ENSRNOG00000003918,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000003918
4,TRNSCRPT,ENSRNOG00000004027,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004027
2,TRNSCRPT,ENSRNOG00000004085,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004085
2,TRNSCRPT,ENSRNOG00000004101,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004101
2,TRNSCRPT,ENSRNOG00000004161,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004161
2,TRNSCRPT,ENSRNOG00000004172,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004172
2,TRNSCRPT,ENSRNOG00000004403,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004403
2,TRNSCRPT,ENSRNOG00000004442,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004442
4,TRNSCRPT,ENSRNOG00000004448,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004448
2,TRNSCRPT,ENSRNOG00000004512,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004512
2,TRNSCRPT,ENSRNOG00000004608,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004608
4,TRNSCRPT,ENSRNOG00000004640,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004640
2,TRNSCRPT,ENSRNOG00000004668,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004668
2,TRNSCRPT,ENSRNOG00000004857,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004857
2,TRNSCRPT,ENSRNOG00000004893,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000004893
2,TRNSCRPT,ENSRNOG00000005006,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005006
4,TRNSCRPT,ENSRNOG00000005061,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005061
4,TRNSCRPT,ENSRNOG00000005130,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005130
2,TRNSCRPT,ENSRNOG00000005247,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005247
4,TRNSCRPT,ENSRNOG00000005377,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005377
2,TRNSCRPT,ENSRNOG00000005418,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005418
4,TRNSCRPT,ENSRNOG00000005512,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005512
4,TRNSCRPT,ENSRNOG00000005587,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005587
4,TRNSCRPT,ENSRNOG00000005618,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005618
4,TRNSCRPT,ENSRNOG00000005668,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005668
4,TRNSCRPT,ENSRNOG00000005877,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005877
4,TRNSCRPT,ENSRNOG00000005987,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000005987
2,TRNSCRPT,ENSRNOG00000006364,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006364
2,TRNSCRPT,ENSRNOG00000006375,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006375
2,TRNSCRPT,ENSRNOG00000006608,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006608
2,TRNSCRPT,ENSRNOG00000006779,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006779
4,TRNSCRPT,ENSRNOG00000006858,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006858
2,TRNSCRPT,ENSRNOG00000006893,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006893
2,TRNSCRPT,ENSRNOG00000006898,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006898
2,TRNSCRPT,ENSRNOG00000006947,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006947
2,TRNSCRPT,ENSRNOG00000006949,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006949
3,TRNSCRPT,ENSRNOG00000006968,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006968
4,TRNSCRPT,ENSRNOG00000007040,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007040
2,TRNSCRPT,ENSRNOG00000007069,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007069
2,TRNSCRPT,ENSRNOG00000007102,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007102
4,TRNSCRPT,ENSRNOG00000007316,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007316
2,TRNSCRPT,ENSRNOG00000007407,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007407
2,TRNSCRPT,ENSRNOG00000007506,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007506
2,TRNSCRPT,ENSRNOG00000007743,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007743
2,TRNSCRPT,ENSRNOG00000007829,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007829
2,TRNSCRPT,ENSRNOG00000007837,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007837
4,TRNSCRPT,ENSRNOG00000007862,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007862
4,TRNSCRPT,ENSRNOG00000007883,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007883
4,TRNSCRPT,ENSRNOG00000007895,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007895
4,TRNSCRPT,ENSRNOG00000007967,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007967
4,TRNSCRPT,ENSRNOG00000008236,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008236
2,TRNSCRPT,ENSRNOG00000008279,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008279
2,TRNSCRPT,ENSRNOG00000008320,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008320
4,TRNSCRPT,ENSRNOG00000008329,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008329
2,TRNSCRPT,ENSRNOG00000008340,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008340
4,TRNSCRPT,ENSRNOG00000008364,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008364
2,TRNSCRPT,ENSRNOG00000008546,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008546
4,TRNSCRPT,ENSRNOG00000008566,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008566
4,TRNSCRPT,ENSRNOG00000008569,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008569
4,TRNSCRPT,ENSRNOG00000008843,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000008843
4,TRNSCRPT,ENSRNOG00000009097,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009097
4,TRNSCRPT,ENSRNOG00000009155,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009155
4,TRNSCRPT,ENSRNOG00000009252,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009252
4,TRNSCRPT,ENSRNOG00000009364,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009364
2,TRNSCRPT,ENSRNOG00000009422,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009422
2,TRNSCRPT,ENSRNOG00000009484,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009484
4,TRNSCRPT,ENSRNOG00000009538,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009538
4,TRNSCRPT,ENSRNOG00000009565,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009565
4,TRNSCRPT,ENSRNOG00000009845,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009845
2,TRNSCRPT,ENSRNOG00000009888,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009888
2,TRNSCRPT,ENSRNOG00000009928,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009928
4,TRNSCRPT,ENSRNOG00000009994,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000009994
4,TRNSCRPT,ENSRNOG00000010277,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010277
2,TRNSCRPT,ENSRNOG00000010438,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010438
4,TRNSCRPT,ENSRNOG00000010452,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010452
2,TRNSCRPT,ENSRNOG00000010540,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010540
3,TRNSCRPT,ENSRNOG00000010558,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010558
2,TRNSCRPT,ENSRNOG00000010633,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010633
4,TRNSCRPT,ENSRNOG00000010697,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010697
2,TRNSCRPT,ENSRNOG00000010799,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010799
4,TRNSCRPT,ENSRNOG00000010800,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010800
4,TRNSCRPT,ENSRNOG00000010807,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010807
4,TRNSCRPT,ENSRNOG00000010830,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010830
2,TRNSCRPT,ENSRNOG00000010940,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000010940
4,TRNSCRPT,ENSRNOG00000011383,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011383
2,TRNSCRPT,ENSRNOG00000011413,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011413
2,TRNSCRPT,ENSRNOG00000011419,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011419
4,TRNSCRPT,ENSRNOG00000011622,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011622
4,TRNSCRPT,ENSRNOG00000011667,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011667
2,TRNSCRPT,ENSRNOG00000011690,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011690
2,TRNSCRPT,ENSRNOG00000011784,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011784
4,TRNSCRPT,ENSRNOG00000011825,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011825
4,TRNSCRPT,ENSRNOG00000011839,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011839
4,TRNSCRPT,ENSRNOG00000011849,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011849
4,TRNSCRPT,ENSRNOG00000011949,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011949
4,TRNSCRPT,ENSRNOG00000011952,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000011952
2,TRNSCRPT,ENSRNOG00000012091,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012091
2,TRNSCRPT,ENSRNOG00000012383,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012383
4,TRNSCRPT,ENSRNOG00000012415,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012415
2,TRNSCRPT,ENSRNOG00000012440,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012440
4,TRNSCRPT,ENSRNOG00000012443,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012443
4,TRNSCRPT,ENSRNOG00000012457,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012457
4,TRNSCRPT,ENSRNOG00000012550,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012550
2,TRNSCRPT,ENSRNOG00000012873,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012873
4,TRNSCRPT,ENSRNOG00000012966,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000012966
2,TRNSCRPT,ENSRNOG00000013000,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013000
4,TRNSCRPT,ENSRNOG00000013211,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013211
2,TRNSCRPT,ENSRNOG00000013293,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013293
2,TRNSCRPT,ENSRNOG00000013331,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013331
4,TRNSCRPT,ENSRNOG00000013479,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013479
4,TRNSCRPT,ENSRNOG00000013505,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013505
2,TRNSCRPT,ENSRNOG00000013553,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013553
2,TRNSCRPT,ENSRNOG00000013585,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013585
4,TRNSCRPT,ENSRNOG00000013766,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013766
4,TRNSCRPT,ENSRNOG00000013949,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013949
2,TRNSCRPT,ENSRNOG00000013961,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000013961
4,TRNSCRPT,ENSRNOG00000014058,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014058
2,TRNSCRPT,ENSRNOG00000014075,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014075
4,TRNSCRPT,ENSRNOG00000014078,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014078
4,TRNSCRPT,ENSRNOG00000014128,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014128
2,TRNSCRPT,ENSRNOG00000014274,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014274
4,TRNSCRPT,ENSRNOG00000014568,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014568
4,TRNSCRPT,ENSRNOG00000014625,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014625
2,TRNSCRPT,ENSRNOG00000014645,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014645
2,TRNSCRPT,ENSRNOG00000014806,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014806
4,TRNSCRPT,ENSRNOG00000014890,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014890
2,TRNSCRPT,ENSRNOG00000014915,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000014915
2,TRNSCRPT,ENSRNOG00000015029,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000015029
4,TRNSCRPT,ENSRNOG00000015063,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000015063
4,TRNSCRPT,ENSRNOG00000015124,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000015124
4,TRNSCRPT,ENSRNOG00000015142,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000015142
2,TRNSCRPT,ENSRNOG00000015150,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000015150
4,TRNSCRPT,ENSRNOG00000015192,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000015192
