Protein IDs,Protein names,Gene names,Razor + unique peptides WT_1,Razor + unique peptides WT_2,Razor + unique peptides WT_3,Razor + unique peptides WT_4,Razor + unique peptides ob_1,Razor + unique peptides ob_2,Razor + unique peptides ob_3,Razor + unique peptides ob_4,Unique peptides WT_1,Unique peptides WT_2,Unique peptides WT_3,Unique peptides WT_4,Unique peptides ob_1,Unique peptides ob_2,Unique peptides ob_3,Unique peptides ob_4,Identification type WT_1,Identification type WT_2,Identification type WT_3,Identification type WT_4,Identification type ob_1,Identification type ob_2,Identification type ob_3,Identification type ob_4,Sequence coverage WT_1 [%],Sequence coverage WT_2 [%],Sequence coverage WT_3 [%],Sequence coverage WT_4 [%],Sequence coverage ob_1 [%],Sequence coverage ob_2 [%],Sequence coverage ob_3 [%],Sequence coverage ob_4 [%],Intensity WT_1,Intensity WT_2,Intensity WT_3,Intensity WT_4,Intensity ob_1,Intensity ob_2,Intensity ob_3,Intensity ob_4
A0A023T778;Q9CQL1;P61327;G3UZW7,Protein mago nashi homolog 2;Protein mago nashi homolog,Magohb;Magoh,3,3,4,4,4,4,3,4,3,3,4,4,4,4,3,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.9,16.9,22.3,22.3,23.6,24.3,18.9,23.6,1940300000,1047500000,1431800000,865370000,1125300000,756890000,736470000,1467600000
A0A075B5K2,,Igkv9-124,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,By matching,,,By MS/MS,,,,,18.9,0,0,18.9,0,0,0,0,21233000,0,0,12126000,0,0,0,0
A0A075B5K6;P03976,Ig kappa chain V-II region 17S29.1,Igkv2-109,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,By MS/MS,By MS/MS,By MS/MS,,By matching,By MS/MS,,By MS/MS,10.8,10.8,10.8,0,10.8,10.8,0,10.8,36518000,277360000,104940000,0,58534000,16919000,0,56706000
A0A075B5M1,,Igkv4-63,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,,,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,,0,0,18.9,18.9,18.9,0,18.9,0,0,0,31544000,0,10600000,0,55714000,0
A0A075B5M2;A0A075B5M3;A0A0G2JH00;A0A0G2JGI6;A0A075B5L2;P01680,Ig kappa chain V-IV region S107B,Igkv4-61;Igkv4-58;Igkv4-91,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,,,By MS/MS,By MS/MS,,By MS/MS,By matching,By MS/MS,0,0,11.7,11.7,0,11.7,11.7,11.7,0,0,0,62166000,0,24318000,74137000,77525000
A0A075B5M7;A0A0G2JDV4;A0A0B4J1J2;A0A0B4J1J1,,Igkv5-39;Igkv5-43;Igkv5-45,0,0,0,2,2,1,2,3,0,0,0,2,2,1,2,3,,,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0,0,0,31.6,31.6,18.9,31.6,42.1,0,0,0,91487000,643880000,157460000,138990000,475400000
A0A075B5N4;A0A0G2JF28,,Igkv8-27,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,,,By matching,By matching,By MS/MS,By matching,By MS/MS,By matching,0,0,12,12,12,12,12,12,0,0,16247000,27599000,35723000,49720000,29744000,26084000
A0A075B5N7;A0A140T8Q3;A0A0G2JGY3;P01633;A0A140T8P2;A0A140T8N9;A0A140T8P1;A0A140T8N7;A0A140T8N5;P01634,Ig kappa chain V19-17,Igkv6-13;Igk-V19-17,2,1,2,1,1,1,0,1,2,1,2,1,1,1,0,1,By matching,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,,By matching,23.2,15.8,23.2,7.4,7.4,9.5,0,7.4,155260000,79276000,266530000,63571000,199560000,44451000,0,93800000
A0A075B5N9;P01668;P03977;P01673;P01672;P01671;P01670;P01669;P01667;P01666;P01665;P01664;P01660;P01657;P01656;P01654;P01659;P01655,Ig kappa chain V-III region PC 7210;Ig kappa chain V-III region 50S10.1;Ig kappa chain V-III region PC 2485/PC 4039;Ig kappa chain V-III region PC 7940;Ig kappa chain V-III region PC 7175;Ig kappa chain V-III region PC 6684;Ig kappa chain V-III region PC 7769;Ig kappa chain V-III region PC 6308;Ig kappa chain V-III region PC 7183;Ig kappa chain V-III region PC 7043;Ig kappa chain V-III region CBPC 101;Ig kappa chain V-III region PC 3741/TEPC 111;Ig kappa chain V-III region PC 2413;Ig kappa chain V-III region MOPC 70;Ig kappa chain V-III region PC 2880/PC 1229;Ig kappa chain V-III region TEPC 124;Ig kappa chain V-III region PC 7132,Igkv3-7,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,By MS/MS,By MS/MS,By MS/MS,,,,By matching,By MS/MS,18.2,18.2,18.2,0,0,0,18.2,18.2,44918000,26087000,45476000,0,0,0,23849000,40511000
A0A075B5P3;A0A0A6YVP0;P01867-2;P01867;P01863;P01865,Ig gamma-2B chain C region,Ighg2b;Igh-3,9,9,11,6,5,5,9,10,8,8,10,6,5,5,8,9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.4,35.4,49.7,26.2,25.6,29.2,43.8,43.8,1457000000,1730200000,2003300000,281240000,765500000,414340000,1616800000,2595400000
A0A075B5P4;A0A0A6YWR2;P01868;P01869,"Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form",Ighg1,5,5,6,5,5,4,6,6,5,5,6,5,5,4,6,6,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,24.4,24.4,27.8,22.5,19.1,19.4,27.8,26.9,1149000000,1537100000,1548400000,467900000,456020000,386650000,1184400000,1149500000
A0A075B5P5;A0A1Y7VJN6;P03987-2;P03987,Ig gamma-3 chain C region,Ighg3,3,4,4,2,2,0,3,4,3,4,4,2,2,0,3,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,11.2,14.2,14.2,6.1,6.1,0,11.2,14.2,850150000,238290000,391160000,79459000,79299000,0,208120000,362230000
A0A075B5P6;P01872;A0A075B6A0;P01872-2,Ig mu chain C region,Ighm,10,8,7,4,7,2,8,10,10,8,7,4,7,2,8,10,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,33.4,28.8,24,10.1,18.5,4.4,26.8,34.3,3985300000,1619000000,1651900000,534260000,3006400000,2470300000,2147600000,4534400000
A0A075B5Q9;A0A0A6YWC7;A0A075B5Q4;P18525,Ig heavy chain V region 5-84,Ighv5-15;Ighv5-12,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,By matching,,,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,13.8,0,0,13.8,13.8,13.8,13.8,13.8,40103000,0,0,6837300,45006000,10765000,36108000,50522000
A0A075B5R0;A0A0B4J1P4,,Ighv5-16,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,,,,By MS/MS,By matching,By matching,,,0,0,0,13.8,13.8,13.8,0,0,0,0,0,26344000,23526000,9919100,0,0
A0A075B5R5,,Ighv4-1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,By matching,By matching,By MS/MS,By MS/MS,,,By matching,By MS/MS,13.8,13.8,13.8,13.8,0,0,13.8,13.8,9501700,47831000,55413000,7744900,0,0,44856000,38124000
A0A075B5S9;A0A075B5S1;A0A0B4J1P3;A0A0B4J1J5;A0A0B4J1J4;A0A0A6YWH6,,Ighv9-4;Ighv9-1;Ighv9-3;Ighv9-2,0,1,1,1,2,0,1,1,0,1,1,1,2,0,1,1,,By matching,By matching,By matching,By MS/MS,,By matching,By MS/MS,0,7.1,7.1,7.1,19.4,0,7.1,7.1,0,143710000,38722000,91121000,5618700,0,103780000,45775000
A0A075B5T2;A0A075B5T3;P01800;P01799;P01798;P01797;P01796;P01802;P01801,Ig heavy chain V-III region T957;Ig heavy chain V-III region ABE-47N;Ig heavy chain V-III region E109;Ig heavy chain V-III region U61;Ig heavy chain V-III region A4;Ig heavy chain V-III region W3082;Ig heavy chain V-III region J606,Ighv6-3;Ighv6-6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,147110000,88224000,112510000,93575000,112400000,27741000,104860000,104490000
A0A075B5V0;P06330;P01757;P01756,Ig heavy chain V region AC38 205.12;Ig heavy chain V region J558;Ig heavy chain V region MOPC 104E,Ighv1-26,3,2,1,0,0,1,2,2,1,0,0,0,0,0,0,0,By MS/MS,By MS/MS,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,35,17.9,12,0,0,6,17.9,17.9,429000000,251870000,81321000,0,0,313180000,276710000,519280000
A0A075B5V8;A0A0A6YY41,,Ighv1-47,1,0,0,1,2,1,2,1,1,0,0,1,2,1,2,1,By matching,,,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,7.1,0,0,7.1,22.4,7.1,22.4,7.1,20116000,0,0,85577000,277180000,36243000,75465000,27910000
A0A075B5Y4;A0A0B4J1M0;A0A075B674;A0A075B680;A0A0G2JGS9;A0A0G2JGN3;A0A075B5Y3;A0A075B5X2;A0A075B5W5;A0A075B5T7;A0A075B5T4;A0A0G2JFL3;A0A0A6YXZ4;P06327;P01747;P01746,Ig heavy chain V region VH558 A1/A4;Ig heavy chain V region 36-65;Ig heavy chain V region 93G7,Ighv1-81;Ighv1-77;Ighv1-78;Ighv1-62-2;Ighv1-80;Ighv1-63;Ighv1-54;Ighv1-7;Ighv1-4;Gm5629,2,2,2,0,1,1,1,2,1,1,1,0,0,0,0,1,By MS/MS,By MS/MS,By MS/MS,,By matching,By MS/MS,By matching,By MS/MS,17.9,17.9,17.9,0,6,6,6,17.9,419440000,195670000,358010000,0,174510000,139820000,164160000,147300000
A0A075B664;A0A075B663;P01728;P01723;P01727;P01729;P01726,Ig lambda-2 chain V region;Ig lambda-1 chain V region;Ig lambda-1 chain V region S43;Ig lambda-2 chain V region MOPC 315;Ig lambda-1 chain V region H2020,Iglv2;Iglv1,1,1,1,1,1,0,1,2,1,1,1,1,1,0,1,2,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,7.8,7.8,7.8,7.8,7.8,0,7.8,23.3,168080000,65452000,205630000,145800000,209280000,0,71464000,149390000
A0A075B6A3;A0A0A6YXW6;P01878,Ig alpha chain C region,Igha,9,9,9,6,6,6,9,8,9,9,9,6,6,6,9,8,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,43,43,43,27.9,27.9,27.9,43,36.3,3528000000,2845900000,4742100000,1386300000,1319200000,759120000,2262500000,1777500000
A0A087WNS9;A0A087WQ65;A0A087WRZ2;A0A087WNT2;A0A087WPY4;Q99JA5;Q64253,Lymphocyte antigen 6E,Ly6e,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,By MS/MS,By matching,By matching,,By MS/MS,,By MS/MS,,22.2,22.2,22.2,0,22.2,0,22.2,0,37861000,78078000,64727000,0,44474000,0,94514000,0
A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2;A0A087WRL1,Arf-GAP domain and FG repeat-containing protein 1,Agfg1,9,10,9,6,6,6,8,8,9,10,9,6,6,6,8,8,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,28,29.6,28,18,16.7,15.9,24.8,25.3,2006400000,1959400000,2141800000,501980000,1491900000,1360300000,1817400000,1538400000
A0A087WNZ7;G5E870;A0A0B4J1N9;A0A087WP92;A0A087WQ02;A0A087WRV6;Q3TP48;A0A087WS65;A0A087WSG4,E3 ubiquitin-protein ligase TRIP12,Trip12,15,16,18,12,15,8,10,12,15,16,18,12,15,8,10,12,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.8,10.5,12.8,7.4,9.8,5.2,6.2,7.5,659290000,739780000,778950000,550090000,915380000,292960000,384730000,406820000
A0A087WP63;A0A087WNX7;A0A087WNL7;A0A087WQ44;Q8BQA6;A0A087WSL6;A0A087WS36;E9Q9V7;A0A087WQY5,,Srcap,4,3,2,2,3,1,0,1,4,3,2,2,3,1,0,1,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,,By matching,1.6,1.2,0.9,0.9,1.2,0.4,0,0.4,7095900000,4507300000,6916500000,15988000,6556900000,0,0,19819000
A0A087WP69;Q6XUX1-3;Q6XUX1,Dual serine/threonine and tyrosine protein kinase,Dstyk,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,By MS/MS,,,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0
A0A087WPH5;Q8VC60,Beta-galactosidase-1-like protein,Glb1l,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,,By MS/MS,By matching,,,,,By MS/MS,0,1.8,1.8,0,0,0,0,1.8,0,23644000,20800000,0,0,0,0,21403000
A0A087WPH7,,Psmc3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,65.2,65.2,65.2,34.1,40.3,27.5,69.2,65.2,269240000,378950000,406350000,38299000,233970000,0,245950000,329890000
A0A087WPL5;O70133;O70133-3;A0A0R4J2C3;A0A087WRT3,ATP-dependent RNA helicase A,Dhx9,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By matching,29.1,32.2,33.4,16.5,19.8,13.7,29.5,31.3,0,57030000,74002000,19994000,41518000,0,57175000,22005000
