Uniprot ID,Entry name,Gene name,Protein name,SWATH_T2D,SWATH_IGT,SWATH_IFG,SWATH_NGT,ANOVA_p-value,ANOVA_q-value,Tissue,Ome,Species
P31946,1433B_HUMAN,YWHAB,14-3-3 protein beta/alpha,5.70E+04,4.90E+04,4.89E+04,4.51E+04,4.40E-01,5.96E-01,SKM-VL,PROT,HUMAN
P62258,1433E_HUMAN,YWHAE,14-3-3 protein epsilon,2.07E+06,2.35E+06,1.93E+06,2.17E+06,6.27E-02,1.62E-01,SKM-VL,PROT,HUMAN
Q04917,1433F_HUMAN,YWHAH,14-3-3 protein eta,1.37E+05,1.91E+05,1.49E+05,1.78E+05,5.66E-02,1.50E-01,SKM-VL,PROT,HUMAN
P61981,1433G_HUMAN,YWHAG,14-3-3 protein gamma,2.15E+06,2.10E+06,2.26E+06,2.08E+06,2.01E-01,3.59E-01,SKM-VL,PROT,HUMAN
P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,1.76E+05,3.57E+05,2.57E+05,2.94E+05,6.12E-03,3.36E-02,SKM-VL,PROT,HUMAN
P63104,1433Z_HUMAN,YWHAZ,14-3-3 protein zeta/delta,6.21E+05,6.46E+05,6.03E+05,6.75E+05,4.47E-01,6.01E-01,SKM-VL,PROT,HUMAN
P04439,1A03_HUMAN,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",3.64E+04,4.80E+04,3.51E+04,4.34E+04,4.63E-01,6.13E-01,SKM-VL,PROT,HUMAN
P30466,1B18_HUMAN,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",7.18E+04,7.49E+04,6.08E+04,7.01E+04,6.67E-01,7.73E-01,SKM-VL,PROT,HUMAN
Q15172,2A5A_HUMAN,PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,8.50E+04,1.62E+05,1.19E+05,1.36E+05,7.01E-03,3.70E-02,SKM-VL,PROT,HUMAN
Q14738,2A5D_HUMAN,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,3.40E+04,4.79E+04,4.46E+04,4.53E+04,3.50E-01,5.22E-01,SKM-VL,PROT,HUMAN
P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,1.42E+06,1.78E+06,1.43E+06,1.59E+06,4.54E-02,1.29E-01,SKM-VL,PROT,HUMAN
P63151,2ABA_HUMAN,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,2.86E+05,3.97E+05,2.96E+05,3.26E+05,7.02E-02,1.76E-01,SKM-VL,PROT,HUMAN
P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",9.41E+05,9.90E+05,9.42E+05,1.17E+06,2.41E-05,5.09E-04,SKM-VL,PROT,HUMAN
P11171,41_HUMAN,EPB41,Protein 4.1,5.80E+05,7.57E+05,6.65E+05,7.96E+05,3.80E-01,5.46E-01,SKM-VL,PROT,HUMAN
Q9BXI3,5NT1A_HUMAN,NT5C1A,Cytosolic 5'-nucleotidase 1A,4.09E+05,5.14E+05,4.81E+05,4.77E+05,1.74E-01,3.24E-01,SKM-VL,PROT,HUMAN
Q9H0P0,5NT3A_HUMAN,NT5C3A,Cytosolic 5'-nucleotidase 3A,7.10E+05,8.23E+05,7.81E+05,8.41E+05,7.20E-02,1.79E-01,SKM-VL,PROT,HUMAN
P56378,68MP_HUMAN,ATP5MPL,"ATP synthase subunit ATP5MPL, mitochondrial",5.81E+04,4.08E+04,5.47E+04,6.70E+04,3.80E-02,1.15E-01,SKM-VL,PROT,HUMAN
P52209,6PGD_HUMAN,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",1.21E+05,1.51E+05,1.40E+05,1.43E+05,5.64E-01,6.96E-01,SKM-VL,PROT,HUMAN
O95336,6PGL_HUMAN,PGLS,6-phosphogluconolactonase,4.45E+04,5.85E+04,3.97E+04,4.63E+04,2.71E-01,4.45E-01,SKM-VL,PROT,HUMAN
