UniProt Accession,Description,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fractions,Occurrences,Highest mean condition,Lowest mean condition,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,Anova p-value <= 0.05,Fold change >= 1.5,Fold change >= 2,Tissue,Ome,Species
LDB3_HUMAN,LIM domain binding protein 3 OS Homo sapiens GN LDB3 PE 1 SV 2,42,32,244.13,0.000263065,0.001847601,1.33294468,0.996120871,1;5;6;7;8;9;10,7,HCM,Control,13394.05514,14572.20286,15292.16407,12885.73629,15061.22126,12516.27407,19306.49928,19941.87558,17976.19252,15536.04369,14129.8011,18592.60457,18791.34477,17651.72644,21983.49468,18849.38389,21834.311,x,,,HEART,PROT,HUMAN
HSPB2_HUMAN,Heat shock protein beta 2 OS Homo sapiens GN HSPB2 PE 1 SV 2,6,4,33.96,0.000337381,0.001966959,1.72754136,0.994462883,5;9,2,HCM,Control,514.6174267,601.3562153,473.4542016,507.9386528,468.9970095,489.5740669,1173.937457,1196.539432,462.8647933,1084.973844,748.0406904,839.7277533,893.9603598,722.0473637,861.1847521,886.8724374,808.4918189,x,x,,HEART,PROT,HUMAN
TBB5_HUMAN,Tubulin beta chain OS Homo sapiens GN TUBB PE 1 SV 2,22,3,146.22,0.000712463,0.003582693,1.72261729,0.985295433,5;6;7;8;9;10;11,7,HCM,Control,1141.71224,1440.132898,591.8214506,1258.345945,1052.665353,1314.619194,2814.910756,2225.293384,1880.468364,1570.600744,1324.751327,1724.539577,2660.719507,1732.011144,1649.830901,1955.640864,1934.309067,x,x,,HEART,PROT,HUMAN
COF2_HUMAN,Cofilin 2 OS Homo sapiens GN CFL2 PE 1 SV 1,26,17,170.61,0.000731578,0.003582693,1.20089505,0.98481484,1;3;4;5;6;7;8,7,HCM,Control,4317.729607,4214.662502,3945.801547,4698.219142,4241.694341,4516.430964,5371.286704,6264.626785,4891.923288,5246.258044,4392.547567,4952.915496,5616.020952,4900.517721,5483.997763,5155.984892,4822.461212,x,,,HEART,PROT,HUMAN
FHL1_HUMAN,Four and a half LIM domains protein 1 OS Homo sapiens GN FHL1 PE 1 SV 4,37,30,222.42,0.001215731,0.005053408,1.49208515,0.972702849,1;2;3;4;5;6;7;8;9;10,10,HCM,Control,13307.36008,15984.94009,10409.39642,18373.84532,14365.09298,17892.46935,21678.63662,24597.75695,17278.67088,29625.70943,19134.66568,26930.18739,20546.07793,21782.91528,25866.62545,23912.95499,15751.05289,x,,,HEART,PROT,HUMAN
MYPC3_HUMAN,Myosin binding protein C cardiac type OS Homo sapiens GN MYBPC3 PE 1 SV 3,83,61,441.04,0.001333175,0.005430757,1.36013141,0.969818887,1;3;4;5;6;7;8;9,8,HCM,Control,14650.64182,24297.52259,18217.39486,15018.34499,16616.85211,13487.60705,23574.92591,21374.75387,24378.65567,24865.17388,24238.09863,25090.96116,23810.83818,24054.42907,16511.08323,26185.14409,20979.56549,x,,,HEART,PROT,HUMAN
CAH3_HUMAN,Carbonic anhydrase 3 OS Homo sapiens GN CA3 PE 1 SV 3,7,7,45.61,0.001517126,0.005830275,4.68977054,0.965361967,4;6;8;9;10,5,HCM,Control,725.5419482,733.4115924,829.9519621,1155.581687,830.3041201,464.6033669,15086.29697,2375.033958,1108.397417,1717.210023,2440.416053,5079.793178,2524.330907,5302.064248,1670.089854,1241.753746,2203.515107,x,x,x,HEART,PROT,HUMAN
PDLI1_HUMAN,PDZ and LIM domain protein 1 OS Homo sapiens GN PDLIM1 PE 1 SV 4,9,9,48.75,0.002429561,0.007962764,1.70121458,0.944429443,5;6;7,3,HCM,Control,1384.104799,1505.901279,1395.355995,1539.017088,1399.765619,1399.276012,2169.897983,3364.268734,2127.089384,2229.844391,1474.44023,2321.164515,2287.742132,1825.201199,4902.244594,2249.859446,1943.777531,x,x,,HEART,PROT,HUMAN
HSPB6_HUMAN,Heat shock protein beta 6 OS Homo sapiens GN HSPB6 PE 1 SV 2,21,19,97.39,0.002462982,0.007962764,1.42564774,0.943699453,4;5;8;9;10;11,6,HCM,Control,10479.31755,11638.83698,10697.20178,17646.01222,7890.28316,11518.44292,13511.78393,19982.97765,14924.88986,22270.74968,13980.99244,16130.21224,17500.53438,15450.15489,18665.87611,16815.35784,13385.06584,x,,,HEART,PROT,HUMAN
QOR_HUMAN,Quinone oxidoreductase OS Homo sapiens GN CRYZ PE 1 SV 1,2,2,13.96,0.002587302,0.008233989,1.41453864,0.941005848,8;9,2,HCM,Control,293.0049854,305.9157325,207.5809556,392.0621289,234.8988936,200.7479081,322.0307562,470.8214644,370.5602935,381.6748754,315.8124152,401.0671954,403.2153138,325.3537422,476.0567765,315.918017,455.5215596,x,,,HEART,PROT,HUMAN
