#,Protein ID,AgeBeta,Pvalue,BH Adjusted Pvalue,Acc No.,ProteinDescription,Genenames,AA Length,GenePrimary,GOCC,GOMF,GOBP,Tissue,Ome,Species
1,PRP4B_HUMAN,0.002124023,0.023484117,0.107594594,Q13523,Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog),PRPF4B KIAA0536 PRP4 PRP4H PRP4K,1007,PRPF4B,"catalytic step 2 spliceosome [GO:0071013]; chromosome [GO:0005694]; nuclear speck [GO:0016607]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; protein phosphorylation [GO:0006468]; RNA splicing [GO:0008380]","catalytic step 2 spliceosome [GO:0071013]; chromosome [GO:0005694]; nuclear speck [GO:0016607]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; protein phosphorylation [GO:0006468]; RNA splicing [GO:0008380]","catalytic step 2 spliceosome [GO:0071013]; chromosome [GO:0005694]; nuclear speck [GO:0016607]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; protein phosphorylation [GO:0006468]; RNA splicing [GO:0008380]",SKM,PROT,HUMAN
2,SRSF1_HUMAN,0.002194226,2.69E-05,0.000939615,Q07955,"Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)",SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3,248,SRSF1,"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA topoisomerase binding [GO:0044547]; mRNA binding [GO:0003729]; protein kinase B binding [GO:0043422]; RNA binding [GO:0003723]; RS domain binding [GO:0050733]; alternative mRNA splicing, via spliceosome [GO:0000380]; cardiac muscle contraction [GO:0060048]; in utero embryonic development [GO:0001701]; liver regeneration [GO:0097421]; mRNA 3'-end processing [GO:0031124]; mRNA 5'-splice site recognition [GO:0000395]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; oligodendrocyte differentiation [GO:0048709]; positive regulation of RNA splicing [GO:0033120]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA topoisomerase binding [GO:0044547]; mRNA binding [GO:0003729]; protein kinase B binding [GO:0043422]; RNA binding [GO:0003723]; RS domain binding [GO:0050733]; alternative mRNA splicing, via spliceosome [GO:0000380]; cardiac muscle contraction [GO:0060048]; in utero embryonic development [GO:0001701]; liver regeneration [GO:0097421]; mRNA 3'-end processing [GO:0031124]; mRNA 5'-splice site recognition [GO:0000395]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; oligodendrocyte differentiation [GO:0048709]; positive regulation of RNA splicing [GO:0033120]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA topoisomerase binding [GO:0044547]; mRNA binding [GO:0003729]; protein kinase B binding [GO:0043422]; RNA binding [GO:0003723]; RS domain binding [GO:0050733]; alternative mRNA splicing, via spliceosome [GO:0000380]; cardiac muscle contraction [GO:0060048]; in utero embryonic development [GO:0001701]; liver regeneration [GO:0097421]; mRNA 3'-end processing [GO:0031124]; mRNA 5'-splice site recognition [GO:0000395]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; oligodendrocyte differentiation [GO:0048709]; positive regulation of RNA splicing [GO:0033120]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]",SKM,PROT,HUMAN
3,HNRPF_HUMAN,0.002355006,1.12E-05,0.000498784,P52597,"Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]",HNRNPF HNRPF,415,HNRNPF,"catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; TBP-class protein binding [GO:0017025]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; TBP-class protein binding [GO:0017025]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; TBP-class protein binding [GO:0017025]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]",SKM,PROT,HUMAN
4,HNRPR_HUMAN,0.002568498,1.51E-07,2.73E-05,O43390,Heterogeneous nuclear ribonucleoprotein R (hnRNP R),HNRNPR HNRPR,633,HNRNPR,"axon terminus [GO:0043679]; catalytic step 2 spliceosome [GO:0071013]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]; circadian rhythm [GO:0007623]; gene expression [GO:0010467]; mRNA destabilization [GO:0061157]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of catalytic activity [GO:0043086]; positive regulation of mRNA catabolic process [GO:0061014]","axon terminus [GO:0043679]; catalytic step 2 spliceosome [GO:0071013]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]; circadian rhythm [GO:0007623]; gene expression [GO:0010467]; mRNA destabilization [GO:0061157]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of catalytic activity [GO:0043086]; positive regulation of mRNA catabolic process [GO:0061014]","axon terminus [GO:0043679]; catalytic step 2 spliceosome [GO:0071013]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]; circadian rhythm [GO:0007623]; gene expression [GO:0010467]; mRNA destabilization [GO:0061157]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of catalytic activity [GO:0043086]; positive regulation of mRNA catabolic process [GO:0061014]",SKM,PROT,HUMAN
5,SK2L2_HUMAN,0.002681647,0.007235601,0.049596136,P42285,Superkiller viralicidic activity 2-like 2 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (TRAMP-like complex helicase),SKIV2L2 DOB1 KIAA0052 Mtr4,1042,SKIV2L2,"catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; maturation of 5.8S rRNA [GO:0000460]; mRNA splicing, via spliceosome [GO:0000398]; RNA catabolic process [GO:0006401]; rRNA processing [GO:0006364]","catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; maturation of 5.8S rRNA [GO:0000460]; mRNA splicing, via spliceosome [GO:0000398]; RNA catabolic process [GO:0006401]; rRNA processing [GO:0006364]","catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; maturation of 5.8S rRNA [GO:0000460]; mRNA splicing, via spliceosome [GO:0000398]; RNA catabolic process [GO:0006401]; rRNA processing [GO:0006364]",SKM,PROT,HUMAN
6,ROA2_HUMAN,0.002825689,1.68E-07,2.73E-05,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1),HNRNPA2B1 HNRPA2B1,353,HNRNPA2B1,"Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; G-rich strand telomeric DNA binding [GO:0098505]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]; G-quadruplex DNA unwinding [GO:0044806]; gene expression [GO:0010467]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA transport [GO:0050658]","Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; G-rich strand telomeric DNA binding [GO:0098505]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]; G-quadruplex DNA unwinding [GO:0044806]; gene expression [GO:0010467]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA transport [GO:0050658]","Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; G-rich strand telomeric DNA binding [GO:0098505]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]; G-quadruplex DNA unwinding [GO:0044806]; gene expression [GO:0010467]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA transport [GO:0050658]",SKM,PROT,HUMAN
7,HNRPM_HUMAN,0.003362972,2.05E-10,1.50E-07,P52272,Heterogeneous nuclear ribonucleoprotein M (hnRNP M),HNRNPM HNRPM NAGR1,730,HNRNPM,"catalytic step 2 spliceosome [GO:0071013]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; paraspeckles [GO:0042382]; spliceosomal complex [GO:0005681]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; alternative mRNA splicing, via spliceosome [GO:0000380]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]","catalytic step 2 spliceosome [GO:0071013]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; paraspeckles [GO:0042382]; spliceosomal complex [GO:0005681]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; alternative mRNA splicing, via spliceosome [GO:0000380]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]","catalytic step 2 spliceosome [GO:0071013]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; paraspeckles [GO:0042382]; spliceosomal complex [GO:0005681]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; alternative mRNA splicing, via spliceosome [GO:0000380]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]",SKM,PROT,HUMAN
8,HNRPU_HUMAN,0.003439904,9.36E-12,2.75E-08,Q00839,Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (Scaffold attachment factor A) (SAF-A) (p120) (pp120),HNRNPU HNRPU SAFA U21.1,825,HNRNPU,"catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular matrix [GO:0031012]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; core promoter binding [GO:0001047]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; circadian regulation of gene expression [GO:0032922]; CRD-mediated mRNA stabilization [GO:0070934]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA processing [GO:0006396]","catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular matrix [GO:0031012]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; core promoter binding [GO:0001047]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; circadian regulation of gene expression [GO:0032922]; CRD-mediated mRNA stabilization [GO:0070934]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA processing [GO:0006396]","catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular matrix [GO:0031012]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; core promoter binding [GO:0001047]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; circadian regulation of gene expression [GO:0032922]; CRD-mediated mRNA stabilization [GO:0070934]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA processing [GO:0006396]",SKM,PROT,HUMAN
9,SRRM1_HUMAN,0.003948622,0.000192126,0.003842523,Q8IYB3,Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein),SRRM1 SRM160,904,SRRM1,"catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; termination of RNA polymerase II transcription [GO:0006369]",SKM,PROT,HUMAN
10,ROA3_HUMAN,0.004578838,4.05E-11,4.61E-08,P51991,Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3),HNRNPA3 HNRPA3,378,HNRNPA3,"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; messenger ribonucleoprotein complex [GO:1990124]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein granule [GO:0035770]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA transmembrane transporter activity [GO:0051033]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; messenger ribonucleoprotein complex [GO:1990124]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein granule [GO:0035770]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA transmembrane transporter activity [GO:0051033]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; messenger ribonucleoprotein complex [GO:1990124]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein granule [GO:0035770]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA transmembrane transporter activity [GO:0051033]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]",SKM,PROT,HUMAN
