Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
Q00972,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial ",20,6,17,6,Bckdk,0.75,0.27,0.99,1.00,HEART,PROT,RAT
Q63065,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial ",51,17,82,15,Pdk1,0.85,0.72,1.09,0.44,HEART,PROT,RAT
Q64536,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial ",37,11,35,9,Pdk2,0.75,0.29,1.00,1.00,HEART,PROT,RAT
P26772,"10 kDa heat shock protein, mitochondrial ",75,10,100,10,Hspe1,0.91,0.76,0.93,1.00,HEART,PROT,RAT
P35213,14-3-3 protein beta/alpha ,52,12,63,5,Ywhab,1.08,1.00,1.40,0.19,HEART,PROT,RAT
P62260,14-3-3 protein epsilon ,60,14,88,11,Ywhae,1.11,0.17,1.15,0.29,HEART,PROT,RAT
P68511,14-3-3 protein eta ,49,12,73,7,Ywhah,1.06,0.13,1.16,0.06,HEART,PROT,RAT
P61983,14-3-3 protein gamma ,49,12,98,6,Ywhag,1.26,0.08,1.33,0.09,HEART,PROT,RAT
P68255,14-3-3 protein theta ,39,10,47,4,Ywhaq,1.55,0.47,1.45,0.62,HEART,PROT,RAT
A0A0G2JV65,14-3-3 protein zeta/delta ,48,13,83,7,Ywhaz,1.24,0.02,1.27,0.01,HEART,PROT,RAT
Q64591,"2,4-dienoyl-CoA reductase, mitochondrial ",31,9,37,9,Decr1,0.27,<0.01,0.44,<0.01,HEART,PROT,RAT
G3V8B6,26S proteasome non-ATPase regulatory subunit 1 ,23,17,52,17,Psmd1,1.07,0.64,1.26,<0.01,HEART,PROT,RAT
B0BN93,26S proteasome non-ATPase regulatory subunit 13 ,23,8,16,8,Psmd13,1.05,1.00,1.20,0.74,HEART,PROT,RAT
Q4FZT9,26S proteasome non-ATPase regulatory subunit 2 ,24,15,44,15,Psmd2,1.23,0.96,1.20,0.95,HEART,PROT,RAT
P62193,26S proteasome regulatory subunit 4 ,37,13,21,12,Psmc1,1.16,0.29,1.17,0.77,HEART,PROT,RAT
Q6P6U2,26S proteasome regulatory subunit 6A ,33,10,32,10,Psmc3,1.12,0.02,1.11,0.07,HEART,PROT,RAT
Q63570,26S proteasome regulatory subunit 6B ,35,12,38,11,Psmc4,1.22,0.29,1.24,0.19,HEART,PROT,RAT
G3V7L6,26S proteasome regulatory subunit 7 ,27,10,23,10,Psmc2,1.06,1.00,1.33,0.61,HEART,PROT,RAT
P62198,26S proteasome regulatory subunit 8 ,38,13,27,12,Psmc5,1.29,0.36,1.17,0.77,HEART,PROT,RAT
Q62785,28 kDa heat- and acid-stable phosphoprotein ,13,3,4,3,Pdap1,1.16,0.63,1.37,0.15,HEART,PROT,RAT
Q5I0K8,"28S ribosomal protein S7, mitochondrial ",16,3,5,3,Mrps7,0.75,0.20,0.93,1.00,HEART,PROT,RAT
Q4G064,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial ",43,10,45,10,Coq5,0.79,<0.01,0.83,0.01,HEART,PROT,RAT
Q5XI78,"2-oxoglutarate dehydrogenase, mitochondrial ",47,37,428,37,Ogdh; LOC103693780,0.87,<0.01,0.91,<0.01,HEART,PROT,RAT
F7EV94,2-oxoisovalerate dehydrogenase subunit alpha ,49,15,61,15,Bckdha,0.83,0.01,0.90,0.27,HEART,PROT,RAT
A0A0A0MXW1,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial ",27,6,71,6,Bckdhb,0.76,0.03,1.03,1.00,HEART,PROT,RAT
A0A0G2K0V3,"3'(2'),5'-bisphosphate nucleotidase 1 ",19,5,13,5,Bpnt1,1.20,0.02,1.21,0.04,HEART,PROT,RAT
O70351,3-hydroxyacyl-CoA dehydrogenase type-2 ,77,14,166,14,Hsd17b10,0.84,<0.01,0.84,<0.01,HEART,PROT,RAT
D4A1J4,3-hydroxybutyrate dehydrogenase type 2 ,16,3,3,3,Bdh2,0.91,1.00,1.38,0.65,HEART,PROT,RAT
P29266,"3-hydroxyisobutyrate dehydrogenase, mitochondrial ",34,9,63,9,Hibadh,1.02,0.85,0.97,0.85,HEART,PROT,RAT
Q5XIE6,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial ",44,15,87,15,Hibch,0.96,0.05,0.89,<0.01,HEART,PROT,RAT
G3V9U2,"3-ketoacyl-CoA thiolase, mitochondrial ",61,18,252,18,Acaa2,0.76,<0.01,0.76,<0.01,HEART,PROT,RAT
P97532,3-mercaptopyruvate sulfurtransferase ,45,11,74,10,Mpst,0.94,0.68,1.03,0.92,HEART,PROT,RAT
G3V6R7,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial ",38,10,41,10,Oxsm,0.83,0.92,1.01,1.00,HEART,PROT,RAT
P63326,40S ribosomal protein S10 ,29,5,14,5,Rps10; Rps10l1,0.78,0.48,0.92,1.00,HEART,PROT,RAT
P62282,40S ribosomal protein S11 ,26,5,8,5,Rps11,0.99,1.00,1.09,1.00,HEART,PROT,RAT
P63324,40S ribosomal protein S12 ,14,2,9,2,Rps12,0.93,0.87,1.01,1.00,HEART,PROT,RAT
P62278,40S ribosomal protein S13 ,29,4,20,4,Rps13; LOC684988,0.88,0.69,0.95,1.00,HEART,PROT,RAT
Q6PDV6,40S ribosomal protein S14 ,14,2,6,2,Rps14; LOC100911847,0.78,0.40,0.94,0.82,HEART,PROT,RAT
D3ZLL8,40S ribosomal protein S15a-like ,24,3,8,3,Rps15a-ps7; Rps15al4; LOC100909878,1.11,1.00,1.03,1.00,HEART,PROT,RAT
D3ZFA8,40S ribosomal protein S17-like ,47,4,8,4,LOC100362366,0.92,1.00,1.16,0.77,HEART,PROT,RAT
