Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
Q9JIF9,Myot Myo Ttid,2.376,7,2.34E-06,Myotilin OS=Mus musculus GN=Myot PE=1 SV=1,HEART,PROT,HUMAN
Q80XN0,Bdh1 Bdh,1.687,11,0.002974,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Bdh1 PE=1 SV=2",HEART,PROT,HUMAN
Q9DB60,Prxl2b Fam213b,1.464,3,0.02907,Prostamide/prostaglandin F synthase OS=Mus musculus GN=Fam213b PE=1 SV=1,HEART,PROT,HUMAN
A0A1B0GT92,Gys1,1.457,5,0.0527,Glycogen [starch] synthase OS=Mus musculus GN=Gys1 PE=1 SV=1,HEART,PROT,HUMAN
A0A1B0GT63,Tmem143,1.432,4,0.09552,Transmembrane protein 143 OS=Mus musculus GN=Tmem143 PE=1 SV=1,HEART,PROT,HUMAN
P54071,Idh2,1.431,90,0,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3",HEART,PROT,HUMAN
Q9CQH7,Btf3l4,1.425,3,0.1968,Transcription factor BTF3 homolog 4 OS=Mus musculus GN=Btf3l4 PE=1 SV=1,HEART,PROT,HUMAN
P85094,Isoc2a Isoc2,1.354,3,0.2069,Isochorismatase domain-containing protein 2A OS=Mus musculus GN=Isoc2a PE=1 SV=1,HEART,PROT,HUMAN
G3UXY6,Gypc,1.349,3,0.01224,Glycophorin-C OS=Mus musculus GN=Gypc PE=1 SV=1,HEART,PROT,HUMAN
Q8R404,Mic13 Qil1,1.344,3,0.0877,MICOS complex subunit MIC13 OS=Mus musculus GN=Mic13 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J0I6,Acad11,1.318,3,0.2997,Acyl-CoA dehydrogenase family member 11 OS=Mus musculus GN=Acad11 PE=1 SV=1,HEART,PROT,HUMAN
Q9D6K8,Fundc2 Hcbp6,1.311,3,0.01982,FUN14 domain-containing protein 2 OS=Mus musculus GN=Fundc2 PE=1 SV=1,HEART,PROT,HUMAN
A2AL78,Asph,1.303,7,0.02341,Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus GN=Asph PE=1 SV=1,HEART,PROT,HUMAN
Q61239,Fnta,1.303,3,0.1263,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Mus musculus GN=Fnta PE=1 SV=1,HEART,PROT,HUMAN
Q5M8N4,Sdr39u1,1.295,4,0.2203,Epimerase family protein SDR39U1 OS=Mus musculus GN=Sdr39u1 PE=1 SV=1,HEART,PROT,HUMAN
F7A8H6,gpx4,1.292,5,4.61E-05,Glutathione peroxidase OS=Mus musculus GN=Gpx4 PE=1 SV=1,HEART,PROT,HUMAN
E9Q9K5,Trdn,1.285,3,0.1369,Triadin OS=Mus musculus GN=Trdn PE=1 SV=1,HEART,PROT,HUMAN
Q9JLH8,Tmod4,1.283,5,0.003554,Tropomodulin-4 OS=Mus musculus GN=Tmod4 PE=2 SV=1,HEART,PROT,HUMAN
Q9Z2Z6,Slc25a20 Cac Cact,1.28,9,0.007554,Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1,HEART,PROT,HUMAN
A0A1B0GQV5,Saa2,1.279,4,0.1025,Serum amyloid A protein OS=Mus musculus GN=Saa2 PE=1 SV=1,HEART,PROT,HUMAN
Q9JK42,Pdk2,1.277,9,0.0158,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Mus musculus GN=Pdk2 PE=1 SV=2",HEART,PROT,HUMAN
Q9D6U8,Fam162a E2ig5,1.276,3,0.0119,Protein FAM162A OS=Mus musculus GN=Fam162a PE=1 SV=1,HEART,PROT,HUMAN
Q9CQR4,Acot13 Them2,1.274,11,0.0008915,Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1,HEART,PROT,HUMAN
Q8QZS1,Hibch,1.268,18,6.43E-05,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus GN=Hibch PE=1 SV=1",HEART,PROT,HUMAN
F6QYE1,Casq2,1.264,37,0.0001047,Calsequestrin OS=Mus musculus GN=Casq2 PE=1 SV=1,HEART,PROT,HUMAN
D3YVP5,Gstm7,1.259,7,0.06385,Glutathione S-transferase Mu 7 OS=Mus musculus GN=Gstm7 PE=1 SV=1,HEART,PROT,HUMAN
Q9WUZ7,Sh3bgr,1.258,9,0.07761,SH3 domain-binding glutamic acid-rich protein OS=Mus musculus GN=Sh3bgr PE=1 SV=1,HEART,PROT,HUMAN
G3XA66,Mtx1,1.251,3,0.4461,Metaxin-1 (Fragment) OS=Mus musculus GN=Mtx1 PE=1 SV=1,HEART,PROT,HUMAN
