Protein IDs,Protein names,Gene names,TPA_WT1,TPA_WT2,TPA_WT3,TPA_WT4,TPA_ob1,TPA_ob2,TPA_ob3,TPA_ob4,Student's T-test Significant ob_lean,-Log Student's T-test p-value ob_lean,Student's T-test q-value ob_lean,Student's T-test Difference ob_lean,Student's T-test Test statistic ob_lean,Tissue,Ome,Species
A0A023T778;Q9CQL1;P61327;G3UZW7,Protein mago nashi homolog 2;Protein mago nashi homolog,Magohb;Magoh,-14.51872253,-15.4851532,-15.02683449,-14.49321556,-14.71492386,-14.65103912,-15.71585846,-15.02673244,,0.166438094,0.823683058,-0.146157026,-0.332735923,LIVER,PROT,MOUSE
A0A075B5K6;P03976,Ig kappa chain V-II region 17S29.1,Igkv2-109,-20.25025177,-17.40226936,-18.7970314,-21.52466202,-18.97981644,-20.13440704,-21.20663071,-19.72054291,,0.203508779,0.746258052,-0.516795635,-0.467184327,LIVER,PROT,MOUSE
A0A075B5M2;A0A075B5M3;A0A0G2JH00;A0A0G2JGI6;A0A075B5L2;P01680,Ig kappa chain V-IV region S107B,Igkv4-61;Igkv4-58;Igkv4-91,-20.88066101,-23.26475906,-21.65506554,-18.29233551,-22.63661957,-19.61102676,-19.02822113,-19.26938057,,0.274608253,0.665995583,0.886893272,0.617748883,LIVER,PROT,MOUSE
A0A075B5M7;A0A0G2JDV4;A0A0B4J1J2;A0A0B4J1J1,,Igkv5-39;Igkv5-43;Igkv5-45,-22.05968094,-22.12678909,-24.02575302,-17.73489571,-15.52036572,-16.9161396,-18.12150764,-16.65297699,+,1.766600908,0.042421569,4.684032202,3.053273878,LIVER,PROT,MOUSE
A0A075B5N4;A0A0G2JF28,,Igkv8-27,-22.17141151,-22.59563637,-21.48834801,-19.46384048,-19.69223213,-18.57922745,-20.34581757,-20.84088326,,0.940429115,0.224494328,1.565268993,1.649851364,LIVER,PROT,MOUSE
A0A075B5N7;A0A140T8Q3;A0A0G2JGY3;P01633;A0A140T8P2;A0A140T8N9;A0A140T8P1;A0A140T8N7;A0A140T8N5;P01634,Ig kappa chain V19-17,Igkv6-13;Igk-V19-17,-18.1622448,-19.20907593,-17.45229721,-18.26009369,-17.21033859,-18.74083328,-20.75128555,-18.99445724,,0.346023529,0.607399133,-0.653300762,-0.717785967,LIVER,PROT,MOUSE
A0A075B5N9;P01668;P03977;P01673;P01672;P01671;P01670;P01669;P01667;P01666;P01665;P01664;P01660;P01657;P01656;P01654;P01659;P01655,Ig kappa chain V-III region PC 7210;Ig kappa chain V-III region 50S10.1;Ig kappa chain V-III region PC 2485/PC 4039;Ig kappa chain V-III region PC 7940;Ig kappa chain V-III region PC 7175;Ig kappa chain V-III region PC 6684;Ig kappa chain V-III region PC 7769;Ig kappa chain V-III region PC 6308;Ig kappa chain V-III region PC 7183;Ig kappa chain V-III region PC 7043;Ig kappa chain V-III region CBPC 101;Ig kappa chain V-III region PC 3741/TEPC 111;Ig kappa chain V-III region PC 2413;Ig kappa chain V-III region MOPC 70;Ig kappa chain V-III region PC 2880/PC 1229;Ig kappa chain V-III region TEPC 124;Ig kappa chain V-III region PC 7132,Igkv3-7,-19.9515667,-20.81262589,-20.00341797,-22.48392868,-20.91028976,-19.65032578,-20.66448593,-20.20573235,,0.291000738,0.674177127,0.455176353,0.604712939,LIVER,PROT,MOUSE
A0A075B5P3;A0A0A6YVP0;P01867-2;P01867;P01863;P01865,Ig gamma-2B chain C region,Ighg2b;Igh-3,-14.93200111,-14.76116276,-14.54228783,-16.11473274,-15.27075958,-15.52031231,-14.58141804,-14.20423317,,0.160034372,0.817434068,0.193365335,0.342449257,LIVER,PROT,MOUSE
A0A075B5P4;A0A0A6YWR2;P01868;P01869,Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region. membrane-bound form,Ighg1,-15.27462578,-14.93188858,-14.91388702,-15.38033581,-16.01806641,-15.6200943,-15.03040218,-15.37918568,,0.803854243,0.390757887,-0.386752844,-1.140068924,LIVER,PROT,MOUSE
A0A075B5P5;A0A1Y7VJN6;P03987-2;P03987,Ig gamma-3 chain C region,Ighg3,-15.7092123,-17.62130928,-16.89883423,-17.93824959,-18.54178619,-21.94184113,-17.53907204,-17.0452137,,0.691433052,0.322487764,-1.725076914,-1.317920974,LIVER,PROT,MOUSE
